#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
1,Dehra Dun Distt Cum Bijnor Distt (NORTH WEST) CUM SAHARANPUR DISTRICT (WEST),208,GEN,Uttar Pradesh [1947 - 1999],Mahavir Tyagi,Indian National Congress,373627,191655,51.3 %
2,Adilabad,317,GEN,Hyderabad,C. Madhav Reddy,Socialist Party,351017,156907,44.7 %
3,Agra District (EAST),227,GEN,Uttar Pradesh [1947 - 1999],Raghubir Singh,Indian National Congress,376255,156403,41.6 %
4,Agra District (WEST),226,GEN,Uttar Pradesh [1947 - 1999],Achal Singh Seth,Indian National Congress,374135,177414,47.4 %
5,Ahmedabad,60,GEN,Bombay,Mavlankar Ganesh Vasudeo,Indian National Congress,727815,726462,49.9 %
6,Ahmedabad,60,GEN,Bombay,Vaishya Muldas Bhudardas,Indian National Congress,727815,726462,49.9 %
7,Ahmednagar North,67,GEN,Bombay,Kanavade Pandharinath Ramchandra,Indian National Congress,394577,184024,46.6 %
8,Ahmednagar South,68,GEN,Bombay,Bogavat Uttamchand Ramchand,Indian National Congress,386878,156054,40.3 %
9,Ajmer North,381,GEN,Ajmer,Jawala Prashad,Indian National Congress,162327,97165,59.9 %
10,Ajmer South,382,GEN,Ajmer,Mukat Behari Lal,Indian National Congress,167157,81834,49.0 %
11,Aligarh District,225,GEN,Uttar Pradesh [1947 - 1999],Nardeo Ji,Indian National Congress,772202,744815,48.2 %
12,Aligarh District,225,GEN,Uttar Pradesh [1947 - 1999],Shri Chand Singhal,Indian National Congress,772202,744815,48.2 %
13,Allahabad Distt (EAST) CUM JAUNPUR DISTT (WEST),254,GEN,Uttar Pradesh [1947 - 1999],Jawahar Lal Nehru,Indian National Congress,749750,603022,40.2 %
14,Allahabad Distt (EAST) CUM JAUNPUR DISTT (WEST),254,GEN,Uttar Pradesh [1947 - 1999],Masuriya Din,Indian National Congress,749750,603022,40.2 %
15,Allahabad Distt (WEST),255,GEN,Uttar Pradesh [1947 - 1999],Sri Prakasa,Indian National Congress,363930,129771,35.7 %
16,Alleppey,374,GEN,Travancore Cochin,P. T. Punnose,Independent,349268,275409,78.9 %
17,Almora District (NORTH EAST),211,GEN,Uttar Pradesh [1947 - 1999],Devi Datt,Indian National Congress,373707,100667,26.9 %
18,Alwar,348,GEN,Rajasthan,Sobha Ram,Indian National Congress,382999,199856,52.2 %
19,Ambad,314,GEN,Hyderabad,Hanmanth Rao Ganeshrao,Indian National Congress,381233,145667,38.2 %
20,Ambala Simla,193,GEN,Punjab,Tek Chand,Indian National Congress,365025,200028,54.8 %
21,Amravati East,111,GEN,Madhya Pradesh [1947 - 1999],Panjabrao Shamrao Deshmukh,Indian National Congress,357241,221630,62.0 %
22,Amravati West,112,GEN,Madhya Pradesh [1947 - 1999],Krushnarao Gulabrao Deshmukh,Indian National Congress,384307,207654,54.0 %
23,Amritsar,207,GEN,Punjab,Gurmukh Singh Musaffar,Indian National Congress,360735,180439,50.0 %
24,Anantapur,134,GEN,Madras,Paidi Lakshmayya,Indian National Congress,364429,215922,59.3 %
25,Aruppukottai,164,GEN,Madras,U. Muthuramalinga Thevar,Forward Bloc (Marxist Group),372858,200738,53.8 %
26,Aurangabad,313,GEN,Hyderabad,Sureshchandra Shivprasad Arya,Indian National Congress,361434,138306,38.3 %
27,Autonomous Districts,2,GEN,Assam,Bonily Khongmen,Indian National Congress,360630,109663,30.4 %
28,Azamgarh District (EAST) CUM BALLIA DISTRICT (WEST),273,GEN,Uttar Pradesh [1947 - 1999],Algu Rai Shastri,Indian National Congress,383060,153266,40.0 %
29,Azamgarh District (WEST),272,GEN,Uttar Pradesh [1947 - 1999],Vishwa Nath,Indian National Congress,760755,555502,36.5 %
30,Azamgarh District (WEST),272,GEN,Uttar Pradesh [1947 - 1999],Sita Ram,Indian National Congress,760755,555502,36.5 %
31,Bahraich District (EAST),259,GEN,Uttar Pradesh [1947 - 1999],Rafi Ahmad Kidwai,Indian National Congress,343647,96028,27.9 %
32,Bahraich District (WEST),260,GEN,Uttar Pradesh [1947 - 1999],Jogendra Singh,Indian National Congress,368993,142131,38.5 %
33,Balaghat,99,GEN,Madhya Pradesh [1947 - 1999],C. D. Goutam,Indian National Congress,370922,179578,48.4 %
34,Balasore,186,GEN,Orissa,Kanhu Charan Jena,Indian National Congress,751245,607958,40.5 %
35,Balasore,186,GEN,Orissa,Bhagabat Sahu,Indian National Congress,751245,607958,40.5 %
36,Ballia District (EAST),276,GEN,Uttar Pradesh [1947 - 1999],Murli Manohar,Independent,368287,126480,34.3 %
37,Banaras District (CENTRAL),257,GEN,Uttar Pradesh [1947 - 1999],Raghunath Singh,Indian National Congress,359514,162478,45.2 %
38,Banaras District (EAST),258,GEN,Uttar Pradesh [1947 - 1999],Tribhuan Narain Singh,Indian National Congress,372480,153123,41.1 %
39,Banaskantha,55,GEN,Bombay,Chavda Akbar Dalumiyan,Indian National Congress,372878,140636,37.7 %
40,Banda District Cum Fatehpur District,241,GEN,Uttar Pradesh [1947 - 1999],Shive Dayal,Indian National Congress,780133,356961,22.9 %
41,Banda District Cum Fatehpur District,241,GEN,Uttar Pradesh [1947 - 1999],Piarey Lal Kureel,Indian National Congress,780133,356961,22.9 %
42,Bangalore North,335,GEN,Mysore,N. Keshavaiengar,Indian National Congress,389996,177057,45.4 %
43,Bangalore South,336,GEN,Mysore,T. Madiah Gowda,Indian National Congress,345824,155948,45.1 %
44,Bankura,283,GEN,West Bengal,Jagannath Koley,Indian National Congress,719632,565367,39.3 %
45,Bankura,283,GEN,West Bengal,Pashupati Mandal,Indian National Congress,719632,565367,39.3 %
46,Banswara Dungarpur,360,ST,Rajasthan,Bhikha Bhai,Indian National Congress,396575,117265,29.6 %
47,Bareilly District (SOUTH),213,GEN,Uttar Pradesh [1947 - 1999],Satish Chandra,Indian National Congress,379600,138758,36.6 %
48,Bargarh,180,GEN,Orissa,Ghanshyam Das Thirani,Independent,368978,98141,26.6 %
49,Barmer Jalore,352,GEN,Rajasthan,Bhawani Singh,Independent,369470,128092,34.7 %
50,Baroda West,63,GEN,Bombay,Amin Indhubhai Bhailalbhai,Independent,380593,201509,53.0 %
51,Barpeta,4,GEN,Assam,Beliram Das,Indian National Congress,332791,176868,53.2 %
52,Barrackpore,297,GEN,West Bengal,Das Ramananda,Indian National Congress,365287,159207,43.6 %
53,Basirhat,296,GEN,West Bengal,Chakravartty Renu,Communist Party Of India,762830,626043,41.0 %
54,Basirhat,296,GEN,West Bengal,Roy Patiram,Indian National Congress,762830,626043,41.0 %
