PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Adilabad,35,GEN,Andhra Pradesh,C. Madhav Reddy,Telugu Desam,700294,444854,63.5 %,54558,12.3%
Adoor,17,GEN,Kerala,K. K. Kunhambu,Indian National Congress,674208,510084,75.7 %,50972,10.0%
Agra,73,GEN,Uttar Pradesh [1947 - 1999],Nihal Singh,Indian National Congress,639657,347677,54.4 %,39677,11.4%
Ahmedabad,10,GEN,Gujarat,Haroobhai Mehta,Indian National Congress,766276,464021,60.6 %,33137,7.1%
Ahmednagar,39,GEN,Maharashtra,Gadakh Yeshwantrao Kankarrao,Indian National Congress,771205,493400,64.0 %,100323,20.3%
Ajmer,12,GEN,Rajasthan,Vishnu Kumar Modi,Indian National Congress,742253,439364,59.2 %,56694,12.9%
Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Ram Piyare Suman,Indian National Congress,756377,443149,58.6 %,69621,15.7%
Akola,19,GEN,Maharashtra,Madhusudan Atmaram Vairale,Indian National Congress,736060,524199,71.2 %,13810,2.6%
Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Usha Rani,Indian National Congress,735424,405725,55.2 %,102231,25.2%
Alipurduars,2,ST,West Bengal,Pijus Tirkey,Revolutionary Socialist Party,736742,557382,75.7 %,30182,5.4%
Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Amitabh Bachchan,Indian National Congress,777652,444552,57.2 %,187795,42.2%
Alleppey,15,GEN,Kerala,Vakkon Purushothaman,Indian National Congress,701138,589117,84.0 %,37764,6.4%
Almora,3,GEN,Uttar Pradesh [1947 - 1999],Harish Chandra Singh,Indian National Congress,670370,311757,46.5 %,140332,45.0%
Alwar,8,GEN,Rajasthan,Ram Singh Yadev,Indian National Congress,751298,420251,55.9 %,125531,29.9%
Amalapuram,9,SC,Andhra Pradesh,Aithabathula Jogeswara Venkata Buthci Maheswara Rao,Telugu Desam,694686,527427,75.9 %,119731,22.7%
Ambala,1,SC,Haryana,Ram Prakash,Indian National Congress,694840,485364,69.9 %,177352,36.5%
Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Rajiv Gandhi,Indian National Congress,740782,446289,60.3 %,314878,70.6%
Amravati,21,GEN,Maharashtra,Choudhary Ushatai Prakash,Indian National Congress,702357,428343,61.0 %,121746,28.4%
Amreli,7,GEN,Gujarat,Ravani Navinchandrabhai Parmananddas,Indian National Congress,642376,407128,63.4 %,37868,9.3%
Amritsar,2,GEN,Punjab,Raghunandan Lal Bhatia,Indian National Congress,857357,533719,62.3 %,105064,19.7%
Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Ram Pal Singh,Indian National Congress,702442,465335,66.3 %,17277,3.7%
Anakapalli,6,GEN,Andhra Pradesh,Appalanarasimham P.,Telugu Desam,744527,505324,67.9 %,174816,34.6%
Anand,20,GEN,Gujarat,Ishverbhai Khodabhai Chavada,Indian National Congress,726873,502507,69.1 %,75173,15.0%
Anantapur,25,GEN,Andhra Pradesh,Devineni Narayana Swamy,Telugu Desam,798271,522936,65.5 %,108649,20.8%
Anantnag,3,GEN,Jammu & Kashmir,Akbar Jahan Begum,Jammu & Kashmir National Conference,611518,428548,70.1 %,82010,19.1%
Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,115565,91093,78.8 %,19136,21.0%
Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Kalyan Singh Solanki,Indian National Congress,656877,326169,49.7 %,52823,16.2%
Arakkonam,6,SC,Tamil Nadu,R. Jeevarathinam,Indian National Congress,757665,592913,78.3 %,60942,10.3%
Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),768645,659108,85.8 %,14160,2.1%
Araria,22,SC,Bihar [1947 - 1999],Doomar Lal Baitha,Indian National Congress,791489,472148,59.7 %,198886,42.1%
Arrah,36,GEN,Bihar [1947 - 1999],Bali Ram Bhagat,Indian National Congress,890008,432394,48.6 %,154922,35.8%
Arunachal East,2,GEN,Arunachal Pradesh,Wangpha Lowang,Indian National Congress,135879,100234,73.8 %,19215,19.2%
Arunachal West,1,GEN,Arunachal Pradesh,P.K.Thangon,Indian National Congress,183170,140528,76.7 %,461,0.3%
Asansol,38,SC,West Bengal,Anada Gopal Mukherjee,Indian National Congress,893685,625065,69.9 %,86666,13.9%
Aska,10,GEN,Orissa,Somnath Rath,Indian National Congress,768077,413689,53.9 %,118044,28.5%
Aurangabad,40,GEN,Bihar [1947 - 1999],Satyendra Narain Singh,Indian National Congress,826531,486447,58.9 %,166035,34.1%
Aurangabad,33,GEN,Maharashtra,Sahebrao P.Dongaonkar,Indian Congress (SOCIALIST),849481,499332,58.8 %,92419,18.5%
Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,330649,220485,66.7 %,14551,6.6%
Azamgarh,45,GEN,Uttar Pradesh [1947 - 1999],Santosh Kumar Singh,Indian National Congress,760683,425385,55.9 %,2786,0.7%
Badagara,3,GEN,Kerala,K. P. Unnikrishnan,Indian Congress (SOCIALIST),740431,583558,78.8 %,10979,1.9%
Bagaha,1,SC,Bihar [1947 - 1999],Bhola Raut,Indian National Congress,708093,310166,43.8 %,165534,53.4%
Bagalkot,27,GEN,Karnataka,Patil Hanmantagouda Bhimanagouda,Indian National Congress,728816,487671,66.9 %,10512,2.2%
Baghpat,81,GEN,Uttar Pradesh [1947 - 1999],Charan Singh,Lok Dal,754811,479161,63.5 %,85674,17.9%
Bahraich,31,GEN,Uttar Pradesh [1947 - 1999],Arif Mohammad Khan,Indian National Congress,762567,363296,47.6 %,101020,27.8%
Balaghat,23,GEN,Madhya Pradesh [1947 - 1999],Nandkishore Sharma,Indian National Congress,635884,420107,66.1 %,68117,16.2%
Balasore,2,ST,Orissa,Chintamani Jena,Indian National Congress,736899,494847,67.2 %,79185,16.0%
Balia,19,GEN,Bihar [1947 - 1999],Chandra Bhanu Devi,Indian National Congress,769052,492389,64.0 %,123901,25.2%
Ballia,43,GEN,Uttar Pradesh [1947 - 1999],Jagannath Chowdhari,Indian National Congress,795336,438137,55.1 %,53940,12.3%
Balrampur,32,GEN,Uttar Pradesh [1947 - 1999],Deep Narain Van Mahanth,Indian National Congress,753870,408184,54.2 %,8656,2.1%
Balurghat,6,GEN,West Bengal,Palas Barman,Revolutionary Socialist Party,768931,626120,81.4 %,22217,3.5%
Banaskantha,14,GEN,Gujarat,B.K.Gadhvi,Indian National Congress,697543,399900,57.3 %,27283,6.8%
Banda,59,GEN,Uttar Pradesh [1947 - 1999],Bhism Deo Dubey,Indian National Congress,708382,387705,54.7 %,57499,14.8%
Bangalore North,12,GEN,Karnataka,C. K. Jaffer Sharief,Indian National Congress,869205,518766,59.7 %,41546,8.0%
Bangalore South,13,GEN,Karnataka,V. S. Krishna Iyer,Janta Party,987244,563908,57.1 %,12732,2.3%
Banka,29,GEN,Bihar [1947 - 1999],Manorma Singh,Indian National Congress,770286,487005,63.2 %,151972,31.2%
Bankura,35,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),771050,567298,73.6 %,24216,4.3%
