PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Adilabad,35,GEN,Andhra Pradesh,Allola Indrakaran Reddy,Telugu Desam,890080,526729,59.2 %,39976,7.6%
Adoor,17,GEN,Kerala,Kodikunnil Suresh,Indian National Congress,900486,668474,74.2 %,18595,2.8%
Agra,73,GEN,Uttar Pradesh [1947 - 1999],Bhagwan Shanker Rawat,Bharatiya Janta Party,919975,419562,45.6 %,63126,15.0%
Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,1051781,400753,38.1 %,91885,22.9%
Ahmednagar,39,GEN,Maharashtra,Gadakh Yeshawantrao,Indian National Congress,1001165,614922,61.4 %,11637,1.9%
Ajmer,12,GEN,Rajasthan,Rasa Singh Rawat,Bharatiya Janta Party,963531,438424,45.5 %,25343,5.8%
Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Ram Awadh,Janata Dal,960334,510146,53.1 %,156,0.0%
Akola,19,GEN,Maharashtra,Fundkar Pandurang Pundlik,Bharatiya Janta Party,949409,517461,54.5 %,45113,8.7%
Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Shila Devi Gautam (W),Bharatiya Janta Party,934243,471658,50.5 %,12475,2.6%
Alipurduars,2,ST,West Bengal,Pius Tirkey,Revolutionary Socialist Party,918815,711036,77.4 %,130112,18.3%
Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Saroj Dubey (W),Janata Dal,984299,399424,40.6 %,5196,1.3%
Alleppey,15,GEN,Kerala,T.J. Anjalose,Communist Party Of India (MARXIST),944397,741369,78.5 %,14075,1.9%
Almora,3,GEN,Uttar Pradesh [1947 - 1999],Jeewan,Bharatiya Janta Party,854910,342964,40.1 %,29145,8.5%
Alwar,8,GEN,Rajasthan,Mahendra Kumari (W),Bharatiya Janta Party,962311,422740,43.9 %,103406,24.5%
Amalapuram,9,SC,Andhra Pradesh,Balayogi G.M.C.,Telugu Desam,836319,527366,63.1 %,87487,16.6%
Ambala,1,SC,Haryana,Ram Prakash,Indian National Congress,912390,653526,71.6 %,71942,11.0%
Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Rajiv Gandhi,Indian National Congress,918257,376202,41.0 %,112085,29.8%
Amravati,21,GEN,Maharashtra,Pratibha Devisinha Patil (W),Indian National Congress,939913,425509,45.3 %,55481,13.0%
Amreli,7,GEN,Gujarat,Dilipbhai Sanghani,Bharatiya Janta Party,823941,402769,48.9 %,96601,24.0%
Amritsar,2,GEN,Punjab,Raghunandan Lal Bhatia,Indian National Congress,1017957,247378,24.3 %,57353,23.2%
Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Chetan Chauhan,Bharatiya Janta Party,925377,565325,61.1 %,57877,10.2%
Anakapalli,6,GEN,Andhra Pradesh,Konathala Ramakrishna,Indian National Congress,894732,603706,67.5 %,11158,1.8%
