PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Adilabad,35,GEN,Andhra Pradesh,G. Narasimha Reddy,Indian National Congress (I),624640,348058,55.7 %,181955,52.3%
Adoor,17,GEN,Kerala,P. K. Kodiyan,Communist Party Of India,611784,324289,53.0 %,25399,7.8%
Agra,73,GEN,Uttar Pradesh [1947 - 1999],Nihal Singh,Indian National Congress (I),636935,343838,54.0 %,16415,4.8%
Ahmedabad,10,GEN,Gujarat,Maganbhai Barot,Indian National Congress (I),698732,416019,59.5 %,108153,26.0%
Ahmednagar,39,GEN,Maharashtra,Athare Chandrabhan Balaji,Indian National Congress (I),707563,425400,60.1 %,180214,42.4%
Ajmer,12,GEN,Rajasthan,Acharya Bhagwan Dev,Indian National Congress (I),657873,373721,56.8 %,43379,11.6%
Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Ram Avadh,Janta Party (SECULAR),698622,373721,53.5 %,35303,9.4%
Akola,19,GEN,Maharashtra,Vairale Madhusudan Atmaram,Indian National Congress (I),668698,350746,52.5 %,104025,29.7%
Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Indra Kumari,Janta Party (SECULAR),675998,339484,50.2 %,17978,5.3%
Alipurduars,2,ST,West Bengal,Pius Tirkey,Revolutionary Socialist Party,660771,424426,64.2 %,115457,27.2%
Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Vishwa Nath Pratap Singh,Indian National Congress (I),711146,341765,48.1 %,73025,21.4%
Alleppey,15,GEN,Kerala,Suseela Gopalana,Communist Party Of India (MARXIST),646322,422720,65.4 %,114764,27.1%
Almora,3,GEN,Uttar Pradesh [1947 - 1999],Harish Chandra Singh,Indian National Congress (I),611124,242488,39.7 %,58682,24.2%
Alwar,8,GEN,Rajasthan,Ram Singh Yadav,Indian National Congress (I),665236,323848,48.7 %,19287,6.0%
Amalapuram,9,SC,Andhra Pradesh,Kusuma Krishnamurthi,Indian National Congress (I),668727,404468,60.5 %,121090,29.9%
Ambala,1,SC,Haryana,Suraj Bhan,Janta Party,615475,420934,68.4 %,2295,0.5%
Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Sanjay Gandhi,Indian National Congress (I),675683,338531,50.1 %,128545,38.0%
Amravati,21,GEN,Maharashtra,Usha Prakash Choudhari,Indian National Congress (I),648873,367031,56.6 %,169630,46.2%
Amreli,7,GEN,Gujarat,Ravani Navinchandra Parmananddas,Indian National Congress (I),573759,282004,49.2 %,100138,35.5%
Amritsar,2,GEN,Punjab,Raghunandan Lal,Indian National Congress (I),788498,500303,63.5 %,111684,22.3%
Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Chandra Pal Singh,Janta Party (SECULAR),658467,364391,55.3 %,42682,11.7%
Anakapalli,6,GEN,Andhra Pradesh,Appala Naidu S.R.A.S,Indian National Congress (I),702428,392743,55.9 %,29123,7.4%
Anand,20,GEN,Gujarat,Ishvarbhai Khodabhai Chavda,Indian National Congress (I),654455,433034,66.2 %,114261,26.4%
Anantapur,25,GEN,Andhra Pradesh,Darur Pullaiah,Indian National Congress (I),714608,357991,50.1 %,73277,20.5%
Anantnag,3,GEN,Jammu & Kashmir,Gh. Rasool Kochak,Jammu & Kashmir National Conference,511132,306998,60.1 %,83970,27.4%
Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress (I),96084,81146,84.5 %,26032,32.1%
Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Jaipal Singh Kashyap,Janta Party (SECULAR),626850,265371,42.3 %,26134,9.8%
Arakkonam,6,SC,Tamil Nadu,Velu A.M.,Indian National Congress (I),701433,468113,66.7 %,117361,25.1%
Arambagh,28,GEN,West Bengal,Bijoy Krishna Modak,Communist Party Of India (MARXIST),677907,544644,80.3 %,42991,7.9%
Araria,22,SC,Bihar [1947 - 1999],Dumar Lal Baitha,Indian National Congress (I),702757,392444,55.8 %,62824,16.0%
Arrah,36,GEN,Bihar [1947 - 1999],Chandradeo Prasad Verma,Janta Party (SECULAR),829450,417138,50.3 %,8949,2.1%
Arunachal East,2,GEN,Arunachal Pradesh,Sobeng Tayeng,Indian National Congress (I),115007,78311,68.1 %,2435,3.1%
Arunachal West,1,GEN,Arunachal Pradesh,Prem Khandu Thungon,Indian National Congress (I),151643,104598,69.0 %,4355,4.2%
Asansol,38,SC,West Bengal,Ananda Gopal Mukhopadhya,Indian National Congress (I),763340,423787,55.5 %,9652,2.3%
Aska,10,GEN,Orissa,Ramachandra Rath,Indian National Congress (I),703763,341083,48.5 %,104317,30.6%
Aurangabad,40,GEN,Bihar [1947 - 1999],Satyendra Narain Singh,Janta Party,758576,456992,60.2 %,174829,38.3%
Aurangabad,33,GEN,Maharashtra,Kazi Salem,Indian National Congress (I),756127,346335,45.8 %,83748,24.2%
Autonomous District,3,ST,Assam,Data Not Available,-,-,-,-,-,-
Azamgarh,45,GEN,Uttar Pradesh [1947 - 1999],Chandrajeet,Janta Party (SECULAR),707302,386280,54.6 %,65183,16.9%
Badagara,3,GEN,Kerala,K.P. Unnikrishnan,Indian National Congress (U),685632,506343,73.9 %,41682,8.2%
Bagaha,1,SC,Bihar [1947 - 1999],Bhola Raut,Indian National Congress (I),677987,286833,42.3 %,123398,43.0%
Bagalkot,27,GEN,Karnataka,Veerendra Patil,Indian National Congress (I),689898,429689,62.3 %,153973,35.8%
