PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
A And N Islands,501,GEN,Andaman & Nicobar Islands,K .R. Ganesh,Indian National Congress,63122,44531,70.6 %,17333,38.9%
Adilabad,35,GEN,Andhra Pradesh,P. Ganga Reddy,Indian National Congress,514876,303280,58.9 %,14950,4.9%
Adoor,163,SC,Kerala,K. Bhargavi,Communist Party Of India,509646,312726,61.4 %,108897,34.8%
Agra,444,GEN,Uttar Pradesh [1947 - 1999],Achal Singh,Indian National Congress,527702,276006,52.3 %,113061,41.0%
Ahmedabad,117,GEN,Gujarat,Indulal Kanaiyalal Yagnik,Indian National Congress,496387,341898,68.9 %,56460,16.5%
Ahmednagar,239,GEN,Maharashtra,Annasaheb Pandurang Shinde,Indian National Congress,500698,288234,57.6 %,47843,16.6%
Ajmer,320,GEN,Rajasthan,Bashweshwar Nath Bhargava,Indian National Congress,523158,271172,51.8 %,86907,32.0%
Akbarpur,397,SC,Uttar Pradesh [1947 - 1999],Ramji Ram,Indian National Congress,546312,223450,40.9 %,66884,29.9%
Akola,221,GEN,Maharashtra,K. M. Asgar Hussain Sardarkhan,Indian National Congress,540873,378199,69.9 %,166449,44.0%
Aligarh,447,GEN,Uttar Pradesh [1947 - 1999],Shive Kumar Shastri,Bharatiya Kranti Dal,549807,337033,61.3 %,35881,10.6%
Alipore,473,GEN,West Bengal,Indrajit Gupta,Communist Party Of India,642566,368717,57.4 %,26958,7.3%
Allahabad,427,GEN,Uttar Pradesh [1947 - 1999],Hemwate Nadan Bahuguna,Indian National Congress,537652,250213,46.5 %,95888,38.3%
Almora,374,GEN,Uttar Pradesh [1947 - 1999],Narendra Singh,Indian National Congress,483252,139400,28.9 %,54421,39.0%
Alwar,316,GEN,Rajasthan,Hari Prasad,Indian National Congress,563533,323049,57.3 %,74137,22.9%
Amalapuram,9,SC,Andhra Pradesh,B. S. Murthy,Indian National Congress,562612,375509,66.7 %,257559,68.6%
Ambala,133,SC,Haryana,Ram Prakash,Indian National Congress,490572,295410,60.2 %,122276,41.4%
Ambalapuzha,161,GEN,Kerala,K. Balakrishnan,Revolutionary Socialist Party,527204,408735,77.5 %,25918,6.3%
Amethi,395,GEN,Uttar Pradesh [1947 - 1999],Vidya Dhar Bajpai,Indian National Congress,533697,160395,30.1 %,74977,46.7%
Amravati,222,GEN,Maharashtra,Krishna Gulab Deshmukh,Indian National Congress,539897,360442,66.8 %,215904,59.9%
Amreli,114,GEN,Gujarat,Jivraj Narayan Mehta,Indian National Congress,477113,237991,49.9 %,38818,16.3%
Amritsar,300,GEN,Punjab,Durga Das Bhatia,Indian National Congress,512028,346287,67.6 %,102941,29.7%
Amroha,377,GEN,Uttar Pradesh [1947 - 1999],Ishaque Sambhali,Communist Party Of India,536743,276017,51.4 %,31042,11.2%
Anakapalli,6,GEN,Andhra Pradesh,S. R. A. S. Appaluanidu,Indian National Congress,555995,322402,58.0 %,146094,45.3%
Anand,126,GEN,Gujarat,Pravinsinhji Natvarsinhji Solanki,Indian National Congress (ORGANISATION),491986,311604,63.3 %,43604,14.0%
Anantapur,25,GEN,Andhra Pradesh,Antony Reddi Ponnapati,Indian National Congress,548876,328632,59.9 %,89057,27.1%
Anantnag,144,GEN,Jammu & Kashmir,Mohmad Shaffi Qureshi,Indian National Congress,393878,264867,67.3 %,60393,22.8%
Angul,296,GEN,Orissa,Pratap Gangadebbad Kumar,Indian National Congress,529706,175752,33.2 %,15296,8.7%
