PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Adilabad,35,GEN,Andhra Pradesh,Dr.S.Venugopala Chary,Telugu Desam,1078788,752835,69.8 %,33534,4.5%
Adoor,17,GEN,Kerala,Chengara Surendran,Communist Party Of India,967961,691309,71.4 %,17005,2.5%
Agra,73,GEN,Uttar Pradesh [1947 - 1999],Bhagwan Shankar Rawat,Bharatiya Janta Party,1224534,660263,53.9 %,48423,7.3%
Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,1292500,652074,50.5 %,136813,21.0%
Ahmednagar,39,GEN,Maharashtra,E.V. Alias Balasaheb Vikhe Patil,Shiv Sena,1125233,671532,59.7 %,14245,2.1%
Ajmer,12,GEN,Rajasthan,Prabha Thakur,Indian National Congress,1044404,615621,58.9 %,5772,0.9%
Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Mayawati,Bahujan Samaj Party,1225461,758980,61.9 %,25179,3.3%
Akola,19,GEN,Maharashtra,Ambedkar Prakash Yashawant,Republican Party Of India,1120511,733223,65.4 %,32782,4.5%
Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Sheela Gautam,Bharatiya Janta Party,1242318,624474,50.3 %,131699,21.1%
Alipurduars,2,ST,West Bengal,Joachim Baxla,Revolutionary Socialist Party,1023567,827362,80.8 %,195599,23.6%
Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Dr. Murli Manohar Joshi,Bharatiya Janta Party,1409229,676551,48.0 %,43290,6.4%
Alleppey,15,GEN,Kerala,V.M. Sudheeran,Indian National Congress,989265,764807,77.3 %,40637,5.3%
Almora,3,GEN,Uttar Pradesh [1947 - 1999],Bachi Singh Rawat,Bharatiya Janta Party,955400,443737,46.5 %,81903,18.5%
Alwar,8,GEN,Rajasthan,Ghasi Ram Yadav,Indian National Congress,1125267,658873,58.6 %,2561,0.4%
Amalapuram,9,SC,Andhra Pradesh,Ganti Mohana Chandra Balayogi,Telugu Desam,897362,666177,74.2 %,90240,13.5%
Ambala,1,SC,Haryana,Aman Kumar Nagra,Bahujan Samaj Party,1092422,748313,68.5 %,2864,0.4%
Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Sanjay Singh,Bharatiya Janta Party,1112191,597556,53.7 %,23270,3.9%
Amravati,21,GEN,Maharashtra,Ramkrushna Suryabhan Gawai,Republican Party Of India,1122524,621643,55.4 %,13859,2.2%
Amreli,7,GEN,Gujarat,Dileep Sanghani,Bharatiya Janta Party,823988,515939,62.6 %,122173,23.7%
