PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Adilabad,35,GEN,Andhra Pradesh,G. Narsimha Reddy,Indian National Congress,548091,310466,56.6 %,71166,22.9%
Adoor,17,GEN,Kerala,P. K. Kodiyan,Communist Party Of India,525154,429974,81.9 %,40567,9.4%
Agra,73,GEN,Uttar Pradesh [1947 - 1999],Shambhu Nath Chaturvedi,Bharatiya Lok Dal,566094,372202,65.8 %,160552,43.1%
Ahmedabad,10,GEN,Gujarat,Ahesan Jafri,Indian National Congress,573286,378527,66.0 %,10013,2.6%
Ahmednagar,39,GEN,Maharashtra,Shinde Annasaheb Pandurang,Indian National Congress,575389,334072,58.1 %,64813,19.4%
Ajmer,12,GEN,Rajasthan,Srikaran Sharda,Bharatiya Lok Dal,577838,345484,59.8 %,104248,30.2%
Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Mangal Deo Visharad,Bharatiya Lok Dal,626897,367714,58.7 %,211826,57.6%
Akola,19,GEN,Maharashtra,Sathe Vasantrao Purushottam,Indian National Congress,589719,388243,65.8 %,61499,15.8%
Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Nawab Singh Chauhan,Bharatiya Lok Dal,620338,401923,64.8 %,190758,47.5%
Alipurduars,2,ST,West Bengal,Pius Tirkey,Revolutionary Socialist Party,523297,312975,59.8 %,40568,13.0%
Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Janeshwar Mishra,Bharatiya Lok Dal,625143,338537,54.2 %,89988,26.6%
Alleppey,15,GEN,Kerala,V. M. Sudheeran,Indian National Congress,579976,485659,83.7 %,64016,13.2%
Almora,3,GEN,Uttar Pradesh [1947 - 1999],Murli Manohar Joshi,Bharatiya Lok Dal,571452,250422,43.8 %,77476,30.9%
Alwar,8,GEN,Rajasthan,Ramji Lal Yadav,Bharatiya Lok Dal,570990,318565,55.8 %,172478,54.1%
Amalapuram,9,SC,Andhra Pradesh,Kusuma Krishna Murty,Indian National Congress,639473,431758,67.5 %,135989,31.5%
Ambala,1,SC,Haryana,Suraj Bhan,Bharatiya Lok Dal,521047,396269,76.1 %,165494,41.8%
Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Ravindra Pratap Singh,Bharatiya Lok Dal,623256,302826,48.6 %,75844,25.0%
Amravati,21,GEN,Maharashtra,Bonde Nana Mahadeo,Indian National Congress,581266,371352,63.9 %,160662,43.3%
Amreli,7,GEN,Gujarat,Dwarkadas Mohanlal Patel,Indian National Congress,494073,267457,54.1 %,59006,22.1%
Amritsar,2,GEN,Punjab,Baldev Parkash,Bharatiya Lok Dal,674907,484968,71.9 %,25041,5.2%
Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Chandrapal Singh,Bharatiya Lok Dal,575748,359728,62.5 %,136494,37.9%
Anakapalli,6,GEN,Andhra Pradesh,Appalanaidu S. R. A. S.,Indian National Congress,708066,378738,53.5 %,35936,9.5%
Anand,20,GEN,Gujarat,Ajitsinh Fulsinh Dabhi,Indian National Congress,564294,401323,71.1 %,62779,15.6%
Anantapur,25,GEN,Andhra Pradesh,Darur Pullaiah,Indian National Congress,640440,401269,62.7 %,42208,10.5%
Anantnag,3,GEN,Jammu & Kashmir,Mohd. Shafi Qureshi,Indian National Congress,471302,263112,55.8 %,8331,3.2%
Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,85308,60590,71.0 %,10232,16.9%
Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Brij Raj Singh,Bharatiya Lok Dal,580011,300461,51.8 %,137188,45.7%
Arakkonam,6,SC,Tamil Nadu,Alagesan O.V.,Indian National Congress,667308,477910,71.6 %,57864,12.1%
Arambagh,28,GEN,West Bengal,Prafulla Chandra Sen,Bharatiya Lok Dal,580700,398708,68.7 %,207437,52.0%
Araria,22,SC,Bihar [1947 - 1999],Mahendra Narayan Sardar,Bharatiya Lok Dal,590569,347588,58.9 %,108534,31.2%
Arrah,36,GEN,Bihar [1947 - 1999],Chandradeo Prasad Verma,Bharatiya Lok Dal,717235,466204,65.0 %,210877,45.2%
Arunachal East,2,GEN,Arunachal Pradesh,Bakin Pertin,Independent,93770,52764,56.3 %,7648,14.5%
Arunachal West,1,GEN,Arunachal Pradesh,Rinchin Khandu Khimre,Indian National Congress,121887,RU,,RU,
Asansol,38,SC,West Bengal,Robin Sen,Communist Party Of India (MARXIST),647254,287229,44.4 %,72227,25.1%
Aska,10,GEN,Orissa,Rama Chandra Rath,Indian National Congress,658693,301729,45.8 %,3777,1.3%
Aurangabad,40,GEN,Bihar [1947 - 1999],Satyendra Narain Singh,Bharatiya Lok Dal,675445,415024,61.4 %,120447,29.0%
Aurangabad,33,GEN,Maharashtra,Bapu Kaldate,Bharatiya Lok Dal,656996,369030,56.2 %,57089,15.5%
Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,227812,100430,44.1 %,30728,30.6%
Azamgarh,45,GEN,Uttar Pradesh [1947 - 1999],Ram Naresh,Bharatiya Lok Dal,632994,362215,57.2 %,137810,38.0%
Badagara,3,GEN,Kerala,K. P. Unnikrishnan,Indian National Congress,611107,507090,83.0 %,8070,1.6%
Bagaha,1,SC,Bihar [1947 - 1999],Jagannath Prasad,Bharatiya Lok Dal,602588,280285,46.5 %,40688,14.5%
Bagalkot,27,GEN,Karnataka,Patil Sanganagouda Basangouda,Indian National Congress,626234,366290,58.5 %,72098,19.7%
Baghpat,81,GEN,Uttar Pradesh [1947 - 1999],Chaudhari Charan Singh,Bharatiya Lok Dal,610712,456968,74.8 %,121538,26.6%
Bahraich,31,GEN,Uttar Pradesh [1947 - 1999],Om Prakash Tyagi,Bharatiya Lok Dal,653318,313363,48.0 %,101419,32.4%
Balaghat,23,GEN,Madhya Pradesh [1947 - 1999],Kacharu Lal Hemraj Jain,Republican Party Of India (KHOBRAGADE),546723,299484,54.8 %,49708,16.6%
Balasore,2,ST,Orissa,Samarendra Kundu,Bharatiya Lok Dal,615737,350771,57.0 %,59461,17.0%
Balia,19,GEN,Bihar [1947 - 1999],Ramajiwan Singh,Bharatiya Lok Dal,639621,383287,59.9 %,47632,12.4%
Ballia,43,GEN,Uttar Pradesh [1947 - 1999],Chandra Shekhar,Bharatiya Lok Dal,661187,369791,55.9 %,167218,45.2%
Balrampur,32,GEN,Uttar Pradesh [1947 - 1999],Nanaji Deshmukh,Bharatiya Lok Dal,636645,348147,54.7 %,114006,32.7%
Balurghat,6,GEN,West Bengal,Palas Barman,Revolutionary Socialist Party,557919,369396,66.2 %,54563,14.8%
Banaskantha,14,GEN,Gujarat,Chaudhary Motibhai Ranchhodbhai,Bharatiya Lok Dal,505258,283574,56.1 %,64783,22.8%
Banda,59,GEN,Uttar Pradesh [1947 - 1999],Ambika Prasad,Bharatiya Lok Dal,562759,295306,52.5 %,57495,19.5%
Bangalore North,12,GEN,Karnataka,C. K. Jafar Sharif,Indian National Congress,622416,374502,60.2 %,40184,10.7%
Bangalore South,13,GEN,Karnataka,K. S. Hegde,Bharatiya Lok Dal,664246,426595,64.2 %,41165,9.6%
