[LINE 1] UID=SK2024AC01 | family_rows=1 | sources_rows=3
[LINE 2] UID=SK2024AC02 | family_rows=1 | sources_rows=3
[LINE 3] UID=SK2024AC03 | family_rows=1 | sources_rows=3
[LINE 4] UID=SK2024AC04 | family_rows=1 | sources_rows=6
[LINE 5] UID=SK2024AC05 | family_rows=1 | sources_rows=3
[LINE 6] UID=SK2024AC06 | family_rows=1 | sources_rows=3
[LINE 7] UID=SK2024AC07 | family_rows=2 | sources_rows=4
[LINE 8] UID=SK2024AC08 | family_rows=1 | sources_rows=3
[LINE 9] UID=SK2024AC09 | family_rows=1 | sources_rows=3
[LINE 10] UID=SK2024AC10 | family_rows=1 | sources_rows=2
[LINE 11] UID=SK2024AC11 | family_rows=1 | sources_rows=4
[LINE 12] UID=SK2024AC12 | family_rows=1 | sources_rows=3
[LINE 13] UID=SK2024AC13 | family_rows=1 | sources_rows=4
[LINE 14] UID=SK2024AC14 | family_rows=1 | sources_rows=3
[LINE 15] UID=SK2024AC15 | family_rows=1 | sources_rows=3
[LINE 16] UID=SK2024AC16 | family_rows=1 | sources_rows=3
[LINE 17] UID=SK2024AC17 | family_rows=1 | sources_rows=3
[LINE 18] UID=SK2024AC18 | family_rows=1 | sources_rows=5
[LINE 19] UID=SK2024AC19 | family_rows=2 | sources_rows=4
[LINE 20] UID=SK2024AC20 | family_rows=1 | sources_rows=5
[LINE 21] UID=SK2024AC21 | family_rows=1 | sources_rows=5
[LINE 22] UID=SK2024AC22 | family_rows=1 | sources_rows=5
[LINE 23] UID=SK2024AC23 | family_rows=1 | sources_rows=5
[LINE 24] UID=SK2024AC24 | family_rows=1 | sources_rows=3
[LINE 25] UID=SK2024AC25 | family_rows=1 | sources_rows=3
[LINE 26] UID=SK2024AC26 | family_rows=1 | sources_rows=5
[LINE 27] UID=SK2024AC27 | family_rows=1 | sources_rows=3
[LINE 28] UID=SK2024AC28 | family_rows=1 | sources_rows=4
[LINE 29] UID=SK2024AC29 | family_rows=1 | sources_rows=3
[LINE 30] UID=SK2024AC30 | family_rows=1 | sources_rows=4
[LINE 31] UID=SK2024AC31 | family_rows=1 | sources_rows=3
[LINE 32] UID=SK2024AC32 | family_rows=1 | sources_rows=3

PROCESSING COMPLETE
Total family rows: 34
Total source rows: 116
