[LINE 1] UID=AR2024AC01 | family_rows=1 | sources_rows=7
[LINE 2] UID=AR2024AC02 | family_rows=1 | sources_rows=4
[LINE 3] UID=AR2024AC03 | family_rows=2 | sources_rows=3
[LINE 4] UID=AR2024AC04 | family_rows=1 | sources_rows=4
[LINE 5] UID=AR2024AC05 | family_rows=1 | sources_rows=4
[LINE 6] UID=AR2024AC06 | family_rows=1 | sources_rows=4
[LINE 7] UID=AR2024AC07 | family_rows=1 | sources_rows=4
[LINE 8] UID=AR2024AC08 | family_rows=1 | sources_rows=5
[LINE 9] UID=AR2024AC09 | family_rows=1 | sources_rows=4
[LINE 10] UID=AR2024AC10 | family_rows=1 | sources_rows=3
[LINE 11] UID=AR2024AC11 | family_rows=1 | sources_rows=4
[LINE 12] UID=AR2024AC12 | family_rows=1 | sources_rows=2
[LINE 13] UID=AR2024AC13 | family_rows=1 | sources_rows=5
[LINE 14] Existing error preserved | UID=AR2024AC14
[LINE 15] UID=AR2024AC15 | family_rows=1 | sources_rows=3
[LINE 16] UID=AR2024AC16 | family_rows=1 | sources_rows=3
[LINE 17] UID=AR2024AC17 | family_rows=1 | sources_rows=3
[LINE 18] UID=AR2024AC18 | family_rows=1 | sources_rows=3
[LINE 19] UID=AR2024AC19 | family_rows=1 | sources_rows=3
[LINE 20] UID=AR2024AC20 | family_rows=1 | sources_rows=4
[LINE 21] UID=AR2024AC21 | family_rows=1 | sources_rows=3
[LINE 22] UID=AR2024AC22 | family_rows=1 | sources_rows=3
[LINE 23] UID=AR2024AC23 | family_rows=1 | sources_rows=4
[LINE 24] UID=AR2024AC24 | family_rows=1 | sources_rows=4
[LINE 25] UID=AR2024AC25 | family_rows=1 | sources_rows=3
[LINE 26] UID=AR2024AC26 | family_rows=1 | sources_rows=5
[LINE 27] UID=AR2024AC27 | family_rows=1 | sources_rows=4
[LINE 28] UID=AR2024AC28 | family_rows=1 | sources_rows=3
[LINE 29] UID=AR2024AC29 | family_rows=1 | sources_rows=4
[LINE 30] UID=AR2024AC30 | family_rows=1 | sources_rows=4
[LINE 31] UID=AR2024AC31 | family_rows=1 | sources_rows=5
[LINE 32] UID=AR2024AC32 | family_rows=1 | sources_rows=4
[LINE 33] UID=AR2024AC33 | family_rows=1 | sources_rows=3
[LINE 34] UID=AR2024AC34 | family_rows=1 | sources_rows=4
[LINE 35] UID=AR2024AC35 | family_rows=1 | sources_rows=7
[LINE 36] UID=AR2024AC36 | family_rows=1 | sources_rows=3
[LINE 37] UID=AR2024AC37 | family_rows=1 | sources_rows=2
[LINE 38] UID=AR2024AC38 | family_rows=1 | sources_rows=3
[LINE 39] UID=AR2024AC39 | family_rows=1 | sources_rows=4
[LINE 40] UID=AR2024AC40 | family_rows=1 | sources_rows=3
[LINE 41] UID=AR2024AC41 | family_rows=1 | sources_rows=4
[LINE 42] UID=AR2024AC42 | family_rows=1 | sources_rows=4
[LINE 43] UID=AR2024AC43 | family_rows=1 | sources_rows=3
[LINE 44] UID=AR2024AC44 | family_rows=1 | sources_rows=3
[LINE 45] UID=AR2024AC45 | family_rows=1 | sources_rows=5
[LINE 46] UID=AR2024AC46 | family_rows=4 | sources_rows=4
[LINE 47] UID=AR2024AC47 | family_rows=1 | sources_rows=3
[LINE 48] UID=AR2024AC48 | family_rows=1 | sources_rows=3
[LINE 49] UID=AR2024AC49 | family_rows=1 | sources_rows=5
[LINE 50] Existing error preserved | UID=AR2024AC50
[LINE 51] UID=AR2024AC51 | family_rows=1 | sources_rows=4
[LINE 52] UID=AR2024AC52 | family_rows=1 | sources_rows=3
[LINE 53] UID=AR2024AC53 | family_rows=1 | sources_rows=5
[LINE 54] UID=AR2024AC54 | family_rows=1 | sources_rows=4
[LINE 55] UID=AR2024AC55 | family_rows=1 | sources_rows=4
[LINE 56] UID=AR2024AC56 | family_rows=1 | sources_rows=3
[LINE 57] UID=AR2024AC57 | family_rows=1 | sources_rows=3
[LINE 58] UID=AR2024AC58 | family_rows=1 | sources_rows=3
[LINE 59] UID=AR2024AC59 | family_rows=1 | sources_rows=3
[LINE 60] UID=AR2024AC60 | family_rows=1 | sources_rows=3

PROCESSING COMPLETE
Total family rows: 62
Total source rows: 216
