[LINE 1] UID=AN2024PC01 | family_rows=1 | sources_rows=3
[LINE 2] UID=AP2024PC07 | family_rows=2 | sources_rows=4
[LINE 3] UID=AP2024PC05 | family_rows=1 | sources_rows=4
[LINE 4] UID=AP2024PC19 | family_rows=1 | sources_rows=4
[LINE 5] UID=AP2024PC01 | family_rows=1 | sources_rows=3
[LINE 6] UID=AP2024PC15 | family_rows=1 | sources_rows=3
[LINE 7] UID=AP2024PC25 | family_rows=1 | sources_rows=4
[LINE 8] UID=AP2024PC10 | family_rows=1 | sources_rows=5
[LINE 9] UID=AP2024PC13 | family_rows=1 | sources_rows=3
[LINE 10] UID=AP2024PC20 | family_rows=1 | sources_rows=4
[LINE 11] UID=AP2024PC21 | family_rows=6 | sources_rows=7
[LINE 12] UID=AP2024PC06 | family_rows=1 | sources_rows=4
[LINE 13] UID=AP2024PC18 | family_rows=1 | sources_rows=6
[LINE 14] UID=AP2024PC11 | family_rows=1 | sources_rows=6
[LINE 15] UID=AP2024PC17 | family_rows=2 | sources_rows=3
[LINE 16] UID=AP2024PC14 | family_rows=1 | sources_rows=3
[LINE 17] UID=AP2024PC09 | family_rows=1 | sources_rows=4
[LINE 18] UID=AP2024PC22 | family_rows=1 | sources_rows=5
[LINE 19] UID=AP2024PC16 | family_rows=2 | sources_rows=5
[LINE 20] UID=AP2024PC08 | family_rows=8 | sources_rows=7
[LINE 21] UID=AP2024PC24 | family_rows=2 | sources_rows=4
[LINE 22] UID=AP2024PC02 | family_rows=4 | sources_rows=4
[LINE 23] UID=AP2024PC23 | family_rows=1 | sources_rows=4
[LINE 24] UID=AP2024PC12 | family_rows=1 | sources_rows=5
[LINE 25] UID=AP2024PC04 | family_rows=3 | sources_rows=5
[LINE 26] UID=AP2024PC03 | family_rows=1 | sources_rows=4
[LINE 27] UID=AR2024PC02 | family_rows=1 | sources_rows=5
[LINE 28] UID=AR2024PC01 | family_rows=1 | sources_rows=5
[LINE 29] UID=AS2024PC03 | family_rows=1 | sources_rows=2
[LINE 30] UID=AS2024PC04 | family_rows=1 | sources_rows=8
[LINE 31] UID=AS2024PC02 | family_rows=1 | sources_rows=3
