[LINE 1] UID=AP1996PC35 | family_rows=1 | sources_rows=1
[LINE 2] UID=KL1996PC17 | family_rows=1 | sources_rows=7
[LINE 3] UID=UP1996PC73 | family_rows=1 | sources_rows=3
[LINE 4] UID=GJ1996PC10 | family_rows=1 | sources_rows=3
[LINE 5] UID=MH1996PC39 | family_rows=1 | sources_rows=2
[LINE 6] UID=RJ1996PC12 | family_rows=1 | sources_rows=4
[LINE 7] UID=UP1996PC27 | family_rows=1 | sources_rows=2
[LINE 8] UID=MH1996PC19 | family_rows=1 | sources_rows=3
[LINE 9] UID=UP1996PC76 | family_rows=1 | sources_rows=3
[LINE 10] UID=WB1996PC02 | family_rows=1 | sources_rows=5
[LINE 11] UID=UP1996PC56 | family_rows=1 | sources_rows=4
[LINE 12] UID=KL1996PC15 | family_rows=1 | sources_rows=4
[LINE 13] UID=UP1996PC03 | family_rows=1 | sources_rows=4
[LINE 14] UID=RJ1996PC08 | family_rows=1 | sources_rows=5
[LINE 15] UID=AP1996PC09 | family_rows=1 | sources_rows=5
[LINE 16] UID=HR1996PC01 | family_rows=1 | sources_rows=4
[LINE 17] UID=UP1996PC25 | family_rows=1 | sources_rows=3
[LINE 18] UID=MH1996PC21 | family_rows=1 | sources_rows=4
[LINE 19] UID=GJ1996PC07 | family_rows=1 | sources_rows=4
[LINE 20] UID=PB1996PC02 | family_rows=1 | sources_rows=6
[LINE 21] UID=UP1996PC06 | family_rows=1 | sources_rows=3
[LINE 22] UID=AP1996PC06 | family_rows=1 | sources_rows=4
[LINE 23] UID=GJ1996PC20 | family_rows=1 | sources_rows=4
[LINE 24] UID=AP1996PC25 | family_rows=1 | sources_rows=2
[LINE 25] UID=JK1996PC03 | family_rows=1 | sources_rows=1
[LINE 26] UID=AN1996PC01 | family_rows=1 | sources_rows=2
[LINE 27] UID=UP1996PC11 | family_rows=1 | sources_rows=2
[LINE 28] UID=TN1996PC06 | family_rows=1 | sources_rows=3
[LINE 29] Existing error preserved | UID=WB1996PC28
[LINE 30] UID=BR1996PC22 | family_rows=1 | sources_rows=5
[LINE 31] UID=BR1996PC36 | family_rows=1 | sources_rows=1
[LINE 32] UID=AR1996PC02 | family_rows=1 | sources_rows=3
[LINE 33] UID=AR1996PC01 | family_rows=1 | sources_rows=3
[LINE 34] UID=WB1996PC38 | family_rows=1 | sources_rows=5
[LINE 35] UID=OR1996PC10 | family_rows=1 | sources_rows=5
[LINE 36] UID=BR1996PC40 | family_rows=1 | sources_rows=4
[LINE 37] UID=MH1996PC33 | family_rows=1 | sources_rows=4
[LINE 38] UID=AS1996PC03 | family_rows=1 | sources_rows=4
[LINE 39] UID=UP1996PC45 | family_rows=2 | sources_rows=3
[LINE 40] UID=KL1996PC03 | family_rows=1 | sources_rows=3
[LINE 41] UID=BR1996PC01 | family_rows=1 | sources_rows=3
[LINE 42] UID=KA1996PC27 | family_rows=1 | sources_rows=6
[LINE 43] UID=UP1996PC81 | family_rows=3 | sources_rows=5
[LINE 44] UID=UP1996PC31 | family_rows=1 | sources_rows=3
[LINE 45] UID=MP1996PC23 | family_rows=1 | sources_rows=5
[LINE 46] UID=OR1996PC02 | family_rows=1 | sources_rows=3
[LINE 47] UID=BR1996PC19 | family_rows=1 | sources_rows=1
[LINE 48] UID=UP1996PC43 | family_rows=3 | sources_rows=3
[LINE 49] UID=UP1996PC32 | family_rows=1 | sources_rows=2
[LINE 50] UID=WB1996PC06 | family_rows=1 | sources_rows=3
[LINE 51] UID=GJ1996PC14 | family_rows=1 | sources_rows=3
[LINE 52] UID=UP1996PC59 | family_rows=1 | sources_rows=5
[LINE 53] UID=KA1996PC12 | family_rows=1 | sources_rows=4
[LINE 54] UID=KA1996PC13 | family_rows=1 | sources_rows=2
[LINE 55] UID=BR1996PC29 | family_rows=1 | sources_rows=3
[LINE 56] UID=WB1996PC35 | family_rows=1 | sources_rows=7
[LINE 57] UID=UP1996PC37 | family_rows=4 | sources_rows=4
[LINE 58] UID=RJ1996PC16 | family_rows=1 | sources_rows=4
[LINE 59] UID=AP1996PC16 | family_rows=1 | sources_rows=5
[LINE 60] Existing error preserved | UID=UP1996PC29
[LINE 61] UID=MH1996PC43 | family_rows=6 | sources_rows=6
[LINE 62] UID=JK1996PC01 | family_rows=1 | sources_rows=2
[LINE 63] UID=WB1996PC13 | family_rows=1 | sources_rows=3
[LINE 64] UID=UP1996PC12 | family_rows=1 | sources_rows=5
[LINE 65] UID=BR1996PC18 | family_rows=1 | sources_rows=5
[LINE 66] UID=RJ1996PC23 | family_rows=1 | sources_rows=7
[LINE 67] UID=GJ1996PC22 | family_rows=1 | sources_rows=4
[LINE 68] UID=AS1996PC06 | family_rows=1 | sources_rows=3
[LINE 69] UID=WB1996PC19 | family_rows=1 | sources_rows=4
[LINE 70] UID=WB1996PC14 | family_rows=1 | sources_rows=3
[LINE 71] UID=MP1996PC20 | family_rows=5 | sources_rows=6
[LINE 72] UID=UP1996PC34 | family_rows=1 | sources_rows=5
[LINE 73] UID=RJ1996PC10 | family_rows=1 | sources_rows=2
