[LINE 1] UID=TG2014PC01 | family_rows=1 | sources_rows=4
[LINE 2] UID=UP2014PC18 | family_rows=1 | sources_rows=5
[LINE 3] UID=MH2014PC37 | family_rows=1 | sources_rows=5
[LINE 4] UID=GJ2014PC07 | family_rows=1 | sources_rows=5
[LINE 5] UID=GJ2014PC08 | family_rows=1 | sources_rows=6
[LINE 6] UID=RJ2014PC13 | family_rows=1 | sources_rows=3
[LINE 7] UID=UP2014PC44 | family_rows=1 | sources_rows=2
[LINE 8] UID=MH2014PC06 | family_rows=1 | sources_rows=1
[LINE 9] UID=KL2014PC15 | family_rows=1 | sources_rows=7
[LINE 10] UID=KL2014PC09 | family_rows=1 | sources_rows=5
[LINE 11] UID=UP2014PC15 | family_rows=1 | sources_rows=4
[LINE 12] UID=WB2014PC02 | family_rows=1 | sources_rows=3
[LINE 13] UID=UP2014PC52 | family_rows=2 | sources_rows=4
[LINE 14] UID=UK2014PC03 | family_rows=1 | sources_rows=4
[LINE 15] UID=RJ2014PC08 | family_rows=1 | sources_rows=3
[LINE 16] UID=AP2014PC24 | family_rows=1 | sources_rows=5
[LINE 17] UID=HR2014PC01 | family_rows=1 | sources_rows=7
[LINE 18] UID=UP2014PC55 | family_rows=1 | sources_rows=5
[LINE 19] UID=UP2014PC37 | family_rows=6 | sources_rows=5
[LINE 20] UID=MH2014PC07 | family_rows=1 | sources_rows=5
[LINE 21] UID=GJ2014PC14 | family_rows=1 | sources_rows=6
[LINE 22] UID=PB2014PC02 | family_rows=4 | sources_rows=4
[LINE 23] UID=UP2014PC09 | family_rows=1 | sources_rows=4
[LINE 24] UID=AP2014PC22 | family_rows=1 | sources_rows=8
[LINE 25] UID=GJ2014PC16 | family_rows=1 | sources_rows=4
[LINE 26] UID=PB2014PC06 | family_rows=1 | sources_rows=3
[LINE 27] UID=AP2014PC36 | family_rows=4 | sources_rows=6
[LINE 28] UID=JK2014PC03 | family_rows=2 | sources_rows=4
[LINE 29] UID=AN2014PC01 | family_rows=1 | sources_rows=5
[LINE 30] UID=UP2014PC24 | family_rows=1 | sources_rows=4
[LINE 31] UID=TN2014PC07 | family_rows=1 | sources_rows=5
[LINE 32] UID=WB2014PC29 | family_rows=1 | sources_rows=4
[LINE 33] UID=TN2014PC12 | family_rows=1 | sources_rows=4
[LINE 34] UID=BR2014PC09 | family_rows=2 | sources_rows=3
[LINE 35] UID=BR2014PC32 | family_rows=1 | sources_rows=5
[LINE 36] UID=AP2014PC18 | family_rows=1 | sources_rows=8
[LINE 37] UID=AR2014PC02 | family_rows=1 | sources_rows=2
[LINE 38] UID=AR2014PC01 | family_rows=1 | sources_rows=4
[LINE 39] UID=WB2014PC40 | family_rows=1 | sources_rows=4
[LINE 40] UID=OR2014PC19 | family_rows=1 | sources_rows=5
[LINE 41] UID=KL2014PC19 | family_rows=1 | sources_rows=3
[LINE 42] UID=BR2014PC37 | family_rows=1 | sources_rows=4
[LINE 43] UID=MH2014PC19 | family_rows=1 | sources_rows=6
[LINE 44] UID=AS2014PC03 | family_rows=1 | sources_rows=5
[LINE 45] UID=UP2014PC69 | family_rows=9 | sources_rows=5
[LINE 46] UID=UP2014PC23 | family_rows=9 | sources_rows=6
[LINE 47] UID=KA2014PC03 | family_rows=1 | sources_rows=5
[LINE 48] UID=UP2014PC11 | family_rows=1 | sources_rows=3
[LINE 49] UID=WB2014PC10 | family_rows=1 | sources_rows=6
[LINE 50] UID=UP2014PC56 | family_rows=1 | sources_rows=5
[LINE 51] UID=MP2014PC15 | family_rows=1 | sources_rows=3
[LINE 52] UID=OR2014PC06 | family_rows=1 | sources_rows=2
[LINE 53] UID=UP2014PC72 | family_rows=1 | sources_rows=3
[LINE 54] UID=WB2014PC06 | family_rows=1 | sources_rows=4
[LINE 55] UID=GJ2014PC02 | family_rows=1 | sources_rows=5
[LINE 56] UID=UP2014PC48 | family_rows=1 | sources_rows=5
[LINE 57] UID=KA2014PC25 | family_rows=1 | sources_rows=7
[LINE 58] UID=KA2014PC24 | family_rows=1 | sources_rows=5
[LINE 59] UID=KA2014PC23 | family_rows=1 | sources_rows=5
[LINE 60] UID=KA2014PC26 | family_rows=1 | sources_rows=4
[LINE 61] UID=WB2014PC14 | family_rows=6 | sources_rows=4
[LINE 62] UID=BR2014PC27 | family_rows=1 | sources_rows=5
[LINE 63] UID=WB2014PC36 | family_rows=1 | sources_rows=3
[LINE 64] UID=UP2014PC67 | family_rows=4 | sources_rows=5
[LINE 65] UID=RJ2014PC20 | family_rows=1 | sources_rows=4
[LINE 66] UID=AP2014PC32 | family_rows=1 | sources_rows=4
[LINE 67] UID=UP2014PC53 | family_rows=1 | sources_rows=4
[LINE 68] UID=MH2014PC35 | family_rows=3 | sources_rows=7
[LINE 69] UID=JK2014PC01 | family_rows=1 | sources_rows=4
[LINE 70] UID=WB2014PC17 | family_rows=3 | sources_rows=3
[LINE 71] UID=WB2014PC38 | family_rows=1 | sources_rows=7
[LINE 72] UID=GJ2014PC23 | family_rows=1 | sources_rows=4
[LINE 73] UID=UP2014PC25 | family_rows=1 | sources_rows=5
[LINE 74] UID=OR2014PC01 | family_rows=1 | sources_rows=5
[LINE 75] UID=RJ2014PC17 | family_rows=1 | sources_rows=5
[LINE 76] UID=AS2014PC06 | family_rows=3 | sources_rows=5
[LINE 77] UID=WB2014PC15 | family_rows=1 | sources_rows=5
[LINE 78] UID=WB2014PC18 | family_rows=1 | sources_rows=5
[LINE 79] UID=CG2014PC10 | family_rows=2 | sources_rows=3
[LINE 80] Existing error preserved | UID=UP2014PC61
[LINE 81] UID=MH2014PC39 | family_rows=3 | sources_rows=7
[LINE 82] UID=BR2014PC24 | family_rows=1 | sources_rows=3
[LINE 83] UID=KA2014PC02 | family_rows=1 | sources_rows=3
[LINE 84] UID=KA2014PC09 | family_rows=1 | sources_rows=3
[LINE 85] UID=OR2014PC20 | family_rows=1 | sources_rows=4
[LINE 86] UID=MP2014PC29 | family_rows=1 | sources_rows=6
[LINE 87] UID=UP2014PC78 | family_rows=1 | sources_rows=3
[LINE 88] UID=OR2014PC07 | family_rows=1 | sources_rows=3
[LINE 89] UID=BR2014PC26 | family_rows=1 | sources_rows=5
[LINE 90] UID=MH2014PC11 | family_rows=1 | sources_rows=3
[LINE 91] UID=RJ2014PC09 | family_rows=1 | sources_rows=6
[LINE 92] UID=GJ2014PC22 | family_rows=1 | sources_rows=6
[LINE 93] UID=PB2014PC11 | family_rows=4 | sources_rows=5
[LINE 94] UID=GJ2014PC15 | family_rows=1 | sources_rows=6
[LINE 95] UID=RJ2014PC23 | family_rows=1 | sources_rows=7
[LINE 96] Existing error preserved | UID=MP2014PC02
[LINE 97] UID=MH2014PC23 | family_rows=1 | sources_rows=19
[LINE 98] UID=HR2014PC08 | family_rows=1 | sources_rows=5
[LINE 99] UID=TG2014PC14 | family_rows=1 | sources_rows=4
[LINE 100] UID=MP2014PC19 | family_rows=1 | sources_rows=5
[LINE 101] UID=OR2014PC18 | family_rows=1 | sources_rows=3
[LINE 102] UID=KA2014PC07 | family_rows=1 | sources_rows=5
[LINE 103] UID=KA2014PC04 | family_rows=1 | sources_rows=5
[LINE 104] UID=UP2014PC04 | family_rows=1 | sources_rows=3
[LINE 105] UID=RJ2014PC02 | family_rows=1 | sources_rows=3
[LINE 106] UID=CG2014PC05 | family_rows=1 | sources_rows=4
[LINE 107] UID=WB2014PC42 | family_rows=1 | sources_rows=5
[LINE 108] UID=WB2014PC37 | family_rows=1 | sources_rows=3
[LINE 109] UID=OR2014PC10 | family_rows=6 | sources_rows=6
[LINE 110] UID=WB2014PC41 | family_rows=1 | sources_rows=5
[LINE 111] UID=UP2014PC14 | family_rows=1 | sources_rows=5
[LINE 112] UID=MH2014PC05 | family_rows=1 | sources_rows=3
[LINE 113] UID=WB2014PC39 | family_rows=2 | sources_rows=5
[LINE 114] UID=BR2014PC33 | family_rows=1 | sources_rows=3
[LINE 115] UID=KL2014PC11 | family_rows=1 | sources_rows=5
[LINE 116] UID=KA2014PC22 | family_rows=1 | sources_rows=3
[LINE 117] UID=UP2014PC76 | family_rows=1 | sources_rows=6
[LINE 118] UID=CH2014PC01 | family_rows=1 | sources_rows=4
[LINE 119] UID=DL2014PC01 | family_rows=1 | sources_rows=6
[LINE 120] UID=MH2014PC13 | family_rows=1 | sources_rows=6
[LINE 121] UID=JH2014PC04 | family_rows=1 | sources_rows=6
