[LINE 1] UID=AP1967PC35 | family_rows=1 | sources_rows=3
[LINE 2] UID=KL1967PC493 | family_rows=1 | sources_rows=4
[LINE 3] UID=UP1967PC425 | family_rows=1 | sources_rows=4
[LINE 4] UID=GJ1967PC117 | family_rows=1 | sources_rows=3
[LINE 5] UID=MH1967PC259 | family_rows=1 | sources_rows=1
[LINE 6] UID=RJ1967PC340 | family_rows=1 | sources_rows=3
[LINE 7] UID=UP1967PC378 | family_rows=1 | sources_rows=3
[LINE 8] UID=MH1967PC241 | family_rows=1 | sources_rows=3
[LINE 9] UID=UP1967PC428 | family_rows=1 | sources_rows=4
[LINE 10] UID=WB1967PC454 | family_rows=2 | sources_rows=3
[LINE 11] UID=UP1967PC408 | family_rows=3 | sources_rows=6
[LINE 12] UID=UP1967PC355 | family_rows=1 | sources_rows=4
[LINE 13] UID=RJ1967PC336 | family_rows=1 | sources_rows=4
[LINE 14] UID=AP1967PC09 | family_rows=1 | sources_rows=3
[LINE 15] UID=HR1967PC133 | family_rows=1 | sources_rows=3
[LINE 16] UID=KL1967PC491 | family_rows=1 | sources_rows=4
[LINE 17] UID=UP1967PC376 | family_rows=1 | sources_rows=3
[LINE 18] UID=MH1967PC242 | family_rows=1 | sources_rows=1
[LINE 19] UID=GJ1967PC114 | family_rows=1 | sources_rows=4
[LINE 20] UID=PB1967PC320 | family_rows=1 | sources_rows=5
[LINE 21] UID=UP1967PC358 | family_rows=1 | sources_rows=1
[LINE 22] UID=AP1967PC06 | family_rows=1 | sources_rows=1
[LINE 23] UID=GJ1967PC126 | family_rows=1 | sources_rows=3
[LINE 24] UID=AP1967PC25 | family_rows=1 | sources_rows=4
[LINE 25] UID=JK1967PC144 | family_rows=1 | sources_rows=4
[LINE 26] UID=AN1967PC497 | family_rows=1 | sources_rows=3
[LINE 27] UID=OR1967PC316 | family_rows=1 | sources_rows=4
[LINE 28] UID=UP1967PC362 | family_rows=1 | sources_rows=3
[LINE 29] UID=WB1967PC463 | family_rows=3 | sources_rows=4
[LINE 30] UID=BR1967PC75 | family_rows=1 | sources_rows=4
[LINE 31] UID=WB1967PC473 | family_rows=1 | sources_rows=3
[LINE 32] UID=BR1967PC95 | family_rows=1 | sources_rows=4
[LINE 33] UID=MH1967PC254 | family_rows=1 | sources_rows=3
[LINE 34] UID=WB1967PC472 | family_rows=1 | sources_rows=4
[LINE 35] UID=AS1967PC44 | family_rows=1 | sources_rows=3
[LINE 36] UID=UP1967PC397 | family_rows=1 | sources_rows=3
[LINE 37] UID=KL1967PC480 | family_rows=1 | sources_rows=3
[LINE 38] UID=BR1967PC56 | family_rows=1 | sources_rows=3
[LINE 39] UID=KA1967PC294 | family_rows=1 | sources_rows=3
[LINE 40] UID=UP1967PC433 | family_rows=1 | sources_rows=3
[LINE 41] UID=UP1967PC383 | family_rows=1 | sources_rows=4
[LINE 42] UID=MP1967PC167 | family_rows=1 | sources_rows=5
[LINE 43] UID=OR1967PC298 | family_rows=1 | sources_rows=3
[LINE 44] UID=UP1967PC395 | family_rows=1 | sources_rows=3
[LINE 45] UID=UP1967PC384 | family_rows=1 | sources_rows=3
[LINE 46] UID=WB1967PC442 | family_rows=1 | sources_rows=4
[LINE 47] UID=GJ1967PC121 | family_rows=1 | sources_rows=3
[LINE 48] UID=UP1967PC411 | family_rows=1 | sources_rows=5
[LINE 49] UID=KA1967PC279 | family_rows=1 | sources_rows=3
[LINE 50] UID=BR1967PC82 | family_rows=1 | sources_rows=4
[LINE 51] UID=WB1967PC470 | family_rows=1 | sources_rows=3
[LINE 52] UID=UP1967PC389 | family_rows=1 | sources_rows=4
[LINE 53] UID=RJ1967PC344 | family_rows=1 | sources_rows=4
[LINE 54] UID=UP1967PC381 | family_rows=1 | sources_rows=4
[LINE 55] UID=MH1967PC263 | family_rows=3 | sources_rows=2
[LINE 56] UID=JK1967PC142 | family_rows=5 | sources_rows=6
[LINE 57] Existing error preserved | UID=WB1967PC449
[LINE 58] UID=UP1967PC363 | family_rows=1 | sources_rows=3
[LINE 59] UID=BR1967PC89 | family_rows=1 | sources_rows=4
[LINE 60] Existing error preserved | UID=RJ1967PC350
[LINE 61] UID=GJ1967PC127 | family_rows=1 | sources_rows=3
[LINE 62] UID=AS1967PC47 | family_rows=1 | sources_rows=3
[LINE 63] UID=WB1967PC455 | family_rows=1 | sources_rows=4
[LINE 64] UID=WB1967PC450 | family_rows=1 | sources_rows=2
[LINE 65] UID=MP1967PC164 | family_rows=1 | sources_rows=4
[LINE 66] UID=UP1967PC386 | family_rows=1 | sources_rows=5
[LINE 67] UID=BR1967PC87 | family_rows=1 | sources_rows=4
[LINE 68] UID=KA1967PC292 | family_rows=1 | sources_rows=3
[LINE 69] UID=KA1967PC273 | family_rows=1 | sources_rows=4
[LINE 70] UID=WB1967PC446 | family_rows=1 | sources_rows=4
[LINE 71] UID=BR1967PC58 | family_rows=1 | sources_rows=3
[LINE 72] UID=MP1967PC173 | family_rows=1 | sources_rows=3
[LINE 73] UID=AP1967PC05 | family_rows=1 | sources_rows=4
[LINE 74] UID=OR1967PC299 | family_rows=1 | sources_rows=4
[LINE 75] UID=BR1967PC83 | family_rows=2 | sources_rows=6
[LINE 76] UID=MH1967PC245 | family_rows=1 | sources_rows=3
[LINE 77] UID=OR1967PC305 | family_rows=1 | sources_rows=3
[LINE 78] UID=RJ1967PC337 | family_rows=6 | sources_rows=4
[LINE 79] UID=PB1967PC329 | family_rows=1 | sources_rows=1
[LINE 80] UID=GJ1967PC115 | family_rows=1 | sources_rows=3
