#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Dhanaha,1,GEN,Har Deo Prasad,Indian National Congress,86882,34426,39.6 %,124,0.4%
2,Bagha,2,SC,Narsingh Baitha,Indian National Congress,109756,54037,49.2 %,13233,24.5%
3,Ramnagar,3,GEN,Arjun Bikram Shah,Indian National Congress,103565,51341,49.6 %,14915,29.1%
4,Shikarpur,4,SC,Sitaram Prasad,Indian National Congress,101206,41671,41.2 %,8634,20.7%
5,Sikta,5,GEN,Faiyazul Azam,Indian National Congress,104443,49241,47.1 %,18907,38.4%
6,Lauria,6,GEN,Vishwa Mohan Sharma,Indian National Congress,96769,46156,47.7 %,8394,18.2%
7,Chunpatia,7,GEN,Vir Singh,Janta Party,98878,43754,44.3 %,921,2.1%
8,Bettiah,8,GEN,Gauri Shankar Pandey,Indian National Congress,120301,58003,48.2 %,3816,6.6%
9,Nautan,9,GEN,Kedar Pandey,Indian National Congress,99137,46875,47.3 %,15041,32.1%
10,Raxaul,10,GEN,Sagir Ahmad,Indian National Congress,99064,53023,53.5 %,3586,6.8%
11,Sugauli,11,GEN,Ramashray Singh,Communist Party Of India (MARXIST),106413,57232,53.8 %,96,0.2%
12,Motihari,12,GEN,Prabhawati Gupta,Indian National Congress,118428,52683,44.5 %,15453,29.3%
13,Adapur,13,GEN,Ram Prit Rai,Indian National Congress,117979,53788,45.6 %,2793,5.2%
14,Dhaka,14,GEN,Siyaram Thakur,Janta Party,127206,76632,60.2 %,11884,15.5%
15,Ghorasahan,15,GEN,Rajendra Pratap Singh,Indian National Congress,109810,59769,54.4 %,175,0.3%
16,Madhuban,16,GEN,Rup Lal Rai,Indian National Congress,116085,61117,52.6 %,3825,6.3%
17,Pipra,17,SC,Tulsi Ram,Communist Party Of India,98914,39231,39.7 %,4636,11.8%
18,Kesariya,18,GEN,Pitambar Singh,Communist Party Of India,110788,56897,51.4 %,6382,11.2%
19,Harsidhi,19,GEN,Yagul Kishore Prasad Singh,Janta Party,97442,61871,63.5 %,1883,3.0%
20,Gobindganj,20,GEN,Ramashankar Pandey,Indian National Congress,117505,71305,60.7 %,14956,21.0%
21,Kateya,21,GEN,Nagina Rai,Indian National Congress,112635,68127,60.5 %,15649,23.0%
22,Bhore,22,SC,Jamuna Ram,Janta Party,118556,42378,35.7 %,17443,41.2%
23,Mirganj,23,GEN,Bhavesh Chandra Prasad,Janta Party,108909,52227,48.0 %,5073,9.7%
24,Gopalganj,24,GEN,Radhika Devi,Janta Party,109027,55399,50.8 %,3959,7.1%
25,Barauli,25,GEN,Ahdul Ghafoor,Indian National Congress,110556,53881,48.7 %,6350,11.8%
26,Baikunthpur,26,GEN,Braj Kishore Narain Singh,Janta Party,115644,57941,50.1 %,20508,35.4%
