#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Lumla,1,ST,T.G. Rinpoche,Indian National Congress,6511,5960,91.5 %,706.0,11.8%
2,Tawang,2,ST,Thupten Tempa,Indian National Congress,7476,RU,,,
3,Mukto,3,ST,Dorjee Khandu,Indian National Congress,5559,4942,88.9 %,672.0,13.6%
4,Dirang,4,ST,Tsering Gyurme,Indian National Congress,10247,7940,77.5 %,1523.0,19.2%
5,Kalaktang,5,ST,D.K. Thongdok,Indian National Congress,8998,6234,69.3 %,271.0,4.3%
6,Thrizino-Buragaon,6,ST,Naresh Glow,Indian National Congress,9188,6840,74.4 %,75.0,1.1%
7,Bomdila,7,ST,Japu Deru,Indian National Congress,8910,5929,66.5 %,360.0,6.1%
8,Bameng,8,ST,Mekup Dolo,Independent,10819,7020,64.9 %,884.0,12.6%
9,Chayangtajo,9,ST,Kameng Dolo,Indian National Congress,9807,6375,65.0 %,1247.0,19.6%
10,Seppa East,10,ST,Atum Velly,Nationalist Congress Party,11324,6854,60.5 %,425.0,6.2%
11,Seppa West,11,ST,Hari Notung,Indian National Congress,5950,4679,78.6 %,676.0,14.4%
12,Pakke-Kasang,12,ST,Dera Natung,Indian National Congress,6449,4643,72.0 %,323.0,7.0%
13,Itanagar,13,ST,Lichi Legi,Indian National Congress,38807,19891,51.3 %,2154.0,10.8%
14,Doimukh,14,ST,T.C. Teli,Indian National Congress,13720,9902,72.2 %,1234.0,12.5%
15,Sagalee,15,ST,Nabam Tuki,Indian National Congress,9184,7284,79.3 %,4232.0,58.1%
16,Yachuli,16,ST,Jotom Toko Takam,Nationalist Congress Party,11281,8997,79.8 %,458.0,5.1%
17,Ziro-Hapoli,17,ST,Padi Richo,Indian National Congress,16309,11524,70.7 %,2941.0,25.5%
18,Palin,18,ST,Takam Sanjoy,Indian National Congress,11268,8047,71.4 %,5205.0,64.7%
19,Nyapin,19,ST,Tatar Kipa,Indian National Congress,11246,7801,69.4 %,2866.0,36.7%
20,Tali,20,ST,Takam Sorang,Indian National Congress,6966,4622,66.4 %,1372.0,29.7%
21,Koloriang,21,ST,Kahfa Bengia,Indian National Congress,10156,6924,68.2 %,6499.0,93.9%
22,Nacho,22,ST,Tanga Byaling,Indian National Congress,7495,5781,77.1 %,811.0,14.0%
23,Taliha,23,ST,Nyato Rigia,Indian National Congress,6709,4895,73.0 %,443.0,9.1%
24,Daporijo,24,ST,Tadak Dulom,Indian National Congress,14683,9120,62.1 %,1677.0,18.4%
25,Raga,25,ST,Talo Mugli,Indian National Congress,11381,8389,73.7 %,2195.0,26.2%
26,Damporijo,26,ST,Takar Marde,Indian National Congress,9939,8256,83.1 %,1892.0,22.9%
27,Liromoba,27,ST,Lijum Ronya,Indian National Congress,8835,7225,81.8 %,1486.0,20.6%
28,Likabali,28,ST,Rima Taipodia,Indian National Congress,7507,5890,78.5 %,145.0,2.5%
29,Basar,29,ST,Eken Riba,Indian National Congress,14292,10635,74.4 %,388.0,3.6%
30,Along West,30,ST,Kento Ete,Indian National Congress,8762,7197,82.1 %,2185.0,30.4%
31,Along East,31,ST,Kito Sora,Indian National Congress,10319,7484,72.5 %,552.0,7.4%
32,Rumgong,32,ST,Tamiyo Taga,Indian National Congress,9029,7394,81.9 %,1358.0,18.4%
33,Mechuka,33,ST,Tadik Chije,Indian National Congress,7000,6053,86.5 %,1619.0,26.7%
34,Tuting-Yinkgkiong,34,ST,Gegong Apang,Arunachal Congress,10677,7780,72.9 %,1613.0,20.7%
35,Pangin,35,ST,Tanyong Tatak,Indian National Congress,10467,8679,82.9 %,969.0,11.2%
36,Nari-Koyu,36,ST,Tako Dabi,Indian National Congress,5496,4466,81.3 %,1591.0,35.6%
37,Pasighat West,37,ST,Tangor Tapak,Indian National Congress,10646,7896,74.2 %,1463.0,18.5%
38,Pasighat East,38,ST,Ninong Ering,Indian National Congress,16157,11032,68.3 %,1952.0,17.7%
