#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Ichapuram,1,GEN,Achuta Ramayya Dakkata,Telugu Desam,119680,86875,72.6 %,13484,15.5%
2,Sompeta,2,GEN,Goutu Syama Sundara Sivaji,Telugu Desam,131863,93656,71.0 %,25663,27.4%
3,Tekkali,3,GEN,N.T. Rama Rao,Telugu Desam,135049,95105,70.4 %,40890,43.0%
4,Harishchandra,4,GEN,Yerrannaidu Kinjarapu,Telugu Desam,132692,102271,77.1 %,27220,26.6%
5,Narasannapeta,5,GEN,Lakshmanarao Baggu,Telugu Desam,120173,93002,77.4 %,7971,8.6%
6,Patapatnam,6,GEN,Kalamata Mohan Rao,Telugu Desam,120405,89690,74.5 %,11536,12.9%
7,Kothuru,7,ST,Gopala Rao Nimmaka,Telugu Desam,129402,92298,71.3 %,17208,18.6%
8,Naguru,8,ST,Nimmaka Jaya Raju,Telugu Desam,125362,88310,70.4 %,32271,36.5%
9,Parvathipuram,9,GEN,Yarra Krishna Murty,Telugu Desam,121695,93200,76.6 %,9980,10.7%
10,Salur,10,ST,Rajendra Pratap Bhanj Deo,Telugu Desam,116699,85101,72.9 %,29370,34.5%
11,Bobbili,11,GEN,Appalanaidu S.V.Ch.,Telugu Desam,118628,94606,79.8 %,6087,6.4%
12,Therlam,12,GEN,Tentu Jayaprakash,Telugu Desam,135953,104930,77.2 %,3509,3.3%
13,Vunukuru,13,GEN,Palavalasa Rajasekharam,Indian National Congress,139498,109245,78.3 %,4258,3.9%
14,Palakonda,14,SC,Bhyadrayya Tale,Telugu Desam,111068,75574,68.0 %,20974,27.8%
15,Amadalavalasa,15,GEN,Tammineni Seetaram,Telugu Desam,118259,87329,73.8 %,5234,6.0%
16,Srikakulam,16,GEN,Appalasuryanarayana Gunda,Telugu Desam,154850,114297,73.8 %,31573,27.6%
17,Etcherla,17,SC,Kavali Pratibha Bharathi,Telugu Desam,131332,96365,73.4 %,30755,31.9%
18,Cheepurupalli,18,GEN,Gadde Babu Rao,Telugu Desam,143774,104042,72.4 %,17065,16.4%
19,Gajapathinagaram,19,GEN,Aruna Padala,Telugu Desam,118891,93305,78.5 %,6819,7.3%
20,Vizianagaram,20,GEN,Ashok Gajapathiraju Poosapati,Telugu Desam,149714,105160,70.2 %,21031,20.0%
21,Sathivada,21,GEN,Surya Narayana Potnuru,Telugu Desam,126713,104995,82.9 %,4534,4.3%
22,Bhogapuram,22,GEN,Narayanaswamynaidu Pathivada,Telugu Desam,120358,93587,77.8 %,4496,4.8%
23,Bheemunipatnam,23,GEN,R.S.D.P.A.N. Raju,Telugu Desam,138651,103406,74.6 %,36849,35.6%
24,Visakhapatnam-I,24,GEN,Abdul Rehman Sheku,Telugu Desam,107383,72131,67.2 %,3164,4.4%
25,Visakhapatnam-Ii,25,GEN,Palla Simhachalam,Telugu Desam,275621,155039,56.3 %,21773,14.0%
26,Pendurthi,26,GEN,Anjaneyulu M.,Communist Party Of India,286532,181400,63.3 %,30987,17.1%
27,Uttarapalli,27,GEN,Appalanaidu Kolla,Telugu Desam,126142,94776,75.1 %,29447,31.1%
28,Srungavarapukota,28,ST,Dukku Labudu Bariki,Telugu Desam,144171,101685,70.5 %,19080,18.8%
29,Paderu,29,ST,Kottagulli Chitti Naidu,Telugu Desam,146340,80003,54.7 %,12238,15.3%
30,Madugula,30,GEN,Reddi Satyannarayana,Telugu Desam,133441,100087,75.0 %,27091,27.1%
31,Chodavaram,31,GEN,Gunuru Yerrunaidu,Telugu Desam,147454,112939,76.6 %,19076,16.9%
32,Anakapalli,32,GEN,Dadi Veerabhadrarao,Telugu Desam,135412,102823,75.9 %,1611,1.6%
33,Paravada,33,GEN,Bandaru Satyanarayanamurty,Telugu Desam,143970,105439,73.2 %,41636,39.5%
34,Elamanchili,34,GEN,Chalapathi Rao Pappala,Telugu Desam,130190,96414,74.1 %,24246,25.1%
35,Payakaraopeta,35,SC,Kakara Nookaraju,Telugu Desam,124516,82262,66.1 %,4009,4.9%
36,Narsipatnam,36,GEN,Ayyanna Patrudu Chintakayala,Telugu Desam,140512,110252,78.5 %,21179,19.2%
37,Chintapalli,37,ST,Demudu Goddeti,Communist Party Of India,146399,98553,67.3 %,5082,5.2%
38,Yellavaram,38,ST,Seetam Setti Venkateswara Rao,Telugu Desam,120133,83423,69.4 %,19591,23.5%
39,Burugupudi,39,GEN,Venkata Ramakrishna Korpu,Telugu Desam,136954,108457,79.2 %,19376,17.9%
40,Rajahmundry,40,GEN,Gorantla Butchaiah Chowdary,Telugu Desam,135549,93381,68.9 %,6620,7.1%
41,Kadiam,41,GEN,Veerabhadra Rao Vaddi,Telugu Desam,211052,153558,72.8 %,25201,16.4%
42,Jaggampeta,42,GEN,Jyothula Venkata Apparao,Telugu Desam,138457,111524,80.5 %,20301,18.2%
43,Peddapuram,43,GEN,Boddu Bhaskara Ramarao,Telugu Desam,135290,102478,75.7 %,12458,12.2%
44,Prathipadu,44,GEN,Parvatha Subbarao,Telugu Desam,156872,119829,76.4 %,21637,18.1%
45,Tuni,45,GEN,Yanamala Rama Krishnudu,Telugu Desam,147363,107575,73.0 %,17793,16.5%
46,Pithapuram,46,GEN,Venna Nageswararao,Telugu Desam,118384,87493,73.9 %,11628,13.3%
47,Sampara,47,GEN,Satyalinga Naicker Tirumani,Telugu Desam,170696,126744,74.3 %,23390,18.5%
48,Kakinada,48,GEN,Mootha Gopala Krishna,Telugu Desam,175035,113774,65.0 %,20684,18.2%
49,Tallarevu,49,GEN,Chikkala Ramachandra Rao,Telugu Desam,127901,101244,79.2 %,19068,18.8%
50,Anaparthy,50,GEN,Moolareddy Nallamilli,Telugu Desam,121821,93211,76.5 %,6000,6.4%
51,Ramachandrapuram,51,GEN,Tota Trimurthulu,Independent,126571,98129,77.5 %,3104,3.2%
52,Alamuru,52,GEN,V.V.S.S.Chowdary,Telugu Desam,147666,114058,77.2 %,36710,32.2%
53,Mummidivaram,53,SC,Bathina Subbarao,Indian National Congress,129473,95975,74.1 %,9565,10.0%
54,Allavaram,54,SC,Aithabathula Jogeswara Venkata Buchi Maheswara Rao,Telugu Desam,111435,83515,74.9 %,16584,19.9%
55,Amalapuram,55,GEN,Dr. Metla Satyanarayana Rao,Telugu Desam,115276,93953,81.5 %,16814,17.9%
56,Kothapeta,56,GEN,Bandaru Satyanandarao,Telugu Desam,125684,99006,78.8 %,15541,15.7%
57,Nagaram,57,SC,Undru Krishna Rao,Telugu Desam,118648,88475,74.6 %,28056,31.7%
58,Razole,58,GEN,Alluru Venkata Suryanarayana Raju,Telugu Desam,124042,98594,79.5 %,7274,7.4%
59,Narasapur,59,GEN,Kothapalli Subbarayudu (PEDABABU),Telugu Desam,148471,114377,77.0 %,15447,13.5%
60,Palacole,60,GEN,Allu Venkata Satyanarayana,Telugu Desam,126891,91115,71.8 %,14400,15.8%
61,Achanta,61,SC,Digupati Rajagopal,Communist Party Of India (MARXIST),125433,90424,72.1 %,22638,25.0%
62,Bhimavaram,62,GEN,Venkata Narasimha Raju Penumatsa,Telugu Desam,154763,99408,64.2 %,6655,6.7%
63,Undi,63,GEN,Kalidindi Ramachandra Raju,Telugu Desam,141165,101606,72.0 %,9208,9.1%
64,Penugonda,64,GEN,Satyanarayana Vanka,Communist Party Of India,123301,90235,73.2 %,12931,14.3%
65,Tanuku,65,GEN,Mullapudi Venkata Krishnarao,Telugu Desam,147181,109683,74.5 %,22556,20.6%
66,Attili,66,GEN,Kanumuru Bapiraju,Indian National Congress,135718,98889,72.9 %,6420,6.5%
67,Tadepalligudem,67,GEN,Kanaka Sundararao Pasala,Telugu Desam,153417,113602,74.0 %,7933,7.0%
68,Ungutur,68,GEN,Kondreddi Viswanatham,Telugu Desam,157163,125302,79.7 %,18862,15.1%
69,Dendulur,69,GEN,Garapati Sambasiva Rao,Telugu Desam,135883,106603,78.5 %,28861,27.1%
70,Eluru,70,GEN,Maradani Rangarao,Telugu Desam,164543,115752,70.3 %,9247,8.0%
71,Gopalpuram,71,SC,Babajirao Jonnakuti,Telugu Desam,144349,108902,75.4 %,39460,36.2%
