#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Lumla,1,ST,R.G. Rinpoche,Independent,5751,5443,94.6 %,1197,22.0%
2,Tawang,2,ST,Thupten Tempa,Indian National Congress,6794,5945,87.5 %,209,3.5%
3,Mukto,3,ST,Dorjee Khandu,Indian National Congress,5326,4813,90.4 %,2317,48.1%
4,Dirang,4,ST,Tsering Gyurme,Indian National Congress,9663,8174,84.6 %,1263,15.5%
5,Kalaktang,5,ST,Rinchin Khandu Khrimey,Indian National Congress,8604,6839,79.5 %,1486,21.7%
6,Thrizino-Buragaon,6,ST,Naresh Glow,Independent,7463,6082,81.5 %,930,15.3%
7,Bomdila,7,ST,Japu Deru,Indian National Congress,7863,6097,77.5 %,821,13.5%
8,Bameng,8,ST,Medhi Dodum,Indian National Congress,9816,6311,64.3 %,2867,45.4%
9,Chayangtajo,9,ST,Kameng Dolo,Indian National Congress,9354,7326,78.3 %,679,9.3%
10,Seppa East,10,ST,Bida Taku,Jharkhand Party,9609,7350,76.5 %,1131,15.4%
11,Seppa West,11,ST,Hari Notung,Indian National Congress,5434,4666,85.9 %,294,6.3%
12,Pakke-Kasang,12,ST,Dera Natung,Indian National Congress,6124,5150,84.1 %,1123,21.8%
13,Itanagar,13,ST,Lechi Legi,Indian National Congress,36066,22913,63.5 %,5023,21.9%
14,Doimukh,14,ST,T.C. Teli,Janata Dal,11146,8873,79.6 %,878,9.9%
15,Sagalee,15,ST,Nabam Tuki,Indian National Congress,9001,7375,81.9 %,2107,28.6%
16,Yachuli,16,ST,Neelam Taram,Indian National Congress,9689,7690,79.4 %,4359,56.7%
17,Ziro-Hapoli,17,ST,Tapi Batt,Jharkhand Party,16294,11119,68.2 %,213,1.9%
18,Palin,18,ST,Takam Sanjoy,Janata Dal,9913,7138,72.0 %,1267,17.8%
19,Nyapin,19,ST,Tadar Taniang,Indian National Congress,10608,7594,71.6 %,524,6.9%
20,Tali,20,ST,Zara Tata,Indian National Congress,6639,4198,63.2 %,430,10.2%
