pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,UID
Adilabad,35,GEN,Andhra Pradesh,C. Madhav Reddy,Telugu Desam,700294,444854,63.5 %,54558,12.3%,AP1984PC35
Adoor,17,GEN,Kerala,K. K. Kunhambu,Indian National Congress,674208,510084,75.7 %,50972,10.0%,KL1984PC17
Agra,73,GEN,Uttar Pradesh [1947 - 1999],Nihal Singh,Indian National Congress,639657,347677,54.4 %,39677,11.4%,UP1984PC73
Ahmedabad,10,GEN,Gujarat,Haroobhai Mehta,Indian National Congress,766276,464021,60.6 %,33137,7.1%,GJ1984PC10
Ahmednagar,39,GEN,Maharashtra,Gadakh Yeshwantrao Kankarrao,Indian National Congress,771205,493400,64.0 %,100323,20.3%,MH1984PC39
Ajmer,12,GEN,Rajasthan,Vishnu Kumar Modi,Indian National Congress,742253,439364,59.2 %,56694,12.9%,RJ1984PC12
Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Ram Piyare Suman,Indian National Congress,756377,443149,58.6 %,69621,15.7%,UP1984PC27
Akola,19,GEN,Maharashtra,Madhusudan Atmaram Vairale,Indian National Congress,736060,524199,71.2 %,13810,2.6%,MH1984PC19
Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Usha Rani,Indian National Congress,735424,405725,55.2 %,102231,25.2%,UP1984PC76
Alipurduars,2,ST,West Bengal,Pijus Tirkey,Revolutionary Socialist Party,736742,557382,75.7 %,30182,5.4%,WB1984PC02
Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Amitabh Bachchan,Indian National Congress,777652,444552,57.2 %,187795,42.2%,UP1984PC56
Alleppey,15,GEN,Kerala,Vakkon Purushothaman,Indian National Congress,701138,589117,84.0 %,37764,6.4%,KL1984PC15
Almora,3,GEN,Uttar Pradesh [1947 - 1999],Harish Chandra Singh,Indian National Congress,670370,311757,46.5 %,140332,45.0%,UP1984PC03
Alwar,8,GEN,Rajasthan,Ram Singh Yadev,Indian National Congress,751298,420251,55.9 %,125531,29.9%,RJ1984PC08
Amalapuram,9,SC,Andhra Pradesh,Aithabathula Jogeswara Venkata Buthci Maheswara Rao,Telugu Desam,694686,527427,75.9 %,119731,22.7%,AP1984PC09
Ambala,1,SC,Haryana,Ram Prakash,Indian National Congress,694840,485364,69.9 %,177352,36.5%,HR1984PC01
Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Rajiv Gandhi,Indian National Congress,740782,446289,60.3 %,314878,70.6%,UP1984PC25
Amravati,21,GEN,Maharashtra,Choudhary Ushatai Prakash,Indian National Congress,702357,428343,61.0 %,121746,28.4%,MH1984PC21
Amreli,7,GEN,Gujarat,Ravani Navinchandrabhai Parmananddas,Indian National Congress,642376,407128,63.4 %,37868,9.3%,GJ1984PC07
Amritsar,2,GEN,Punjab,Raghunandan Lal Bhatia,Indian National Congress,857357,533719,62.3 %,105064,19.7%,PB1984PC02
Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Ram Pal Singh,Indian National Congress,702442,465335,66.3 %,17277,3.7%,UP1984PC06
Anakapalli,6,GEN,Andhra Pradesh,Appalanarasimham P.,Telugu Desam,744527,505324,67.9 %,174816,34.6%,AP1984PC06
Anand,20,GEN,Gujarat,Ishverbhai Khodabhai Chavada,Indian National Congress,726873,502507,69.1 %,75173,15.0%,GJ1984PC20
Anantapur,25,GEN,Andhra Pradesh,Devineni Narayana Swamy,Telugu Desam,798271,522936,65.5 %,108649,20.8%,AP1984PC25
Anantnag,3,GEN,Jammu & Kashmir,Akbar Jahan Begum,Jammu & Kashmir National Conference,611518,428548,70.1 %,82010,19.1%,JK1984PC03
