pc name,no,type,state,winning candidate,party,electors,votes,turnout,UID
Adilabad,30,GEN,Andhra Pradesh,K. Ashanna,Indian National Congress,365889,176662,48.3 %,AP1957PC30
Adoni,22,GEN,Andhra Pradesh,Pendekanti Venkata Subbaiah,Indian National Congress,393171,117937,30.0 %,AP1957PC22
Agra,320,GEN,Uttar Pradesh [1947 - 1999],Seth Achal Singh,Indian National Congress,392127,220877,56.3 %,UP1957PC320
Ahmedabad,102,GEN,Bombay,Yagnik Indulal Kanaiyalal,Independent,699036,942069,67.4 %,MH1957PC102
Ahmedabad,102,GEN,Bombay,Parmar Karsandas Ukabhai,Independent,699036,942069,67.4 %,MH1957PC102
Ahmednagar,127,GEN,Bombay,Khadilakar Raghunath Keshav,Independent,339802,163580,48.1 %,MH1957PC127
Ajmer,291,GEN,Rajasthan,Mukat Behari Lal,Indian National Congress,379476,176072,46.4 %,RJ1957PC291
Akola,135,GEN,Bombay,Khedkar Gopalrao Bajirao,Indian National Congress,779310,971850,62.4 %,MH1957PC135
Akola,135,GEN,Bombay,Bhatkar Laxman Shrawan,Indian National Congress,779310,971850,62.4 %,MH1957PC135
Aligarh,318,GEN,Uttar Pradesh [1947 - 1999],Nardeo,Indian National Congress,875458,882486,50.4 %,UP1957PC318
Aligarh,318,GEN,Uttar Pradesh [1947 - 1999],A. J. Y. Khwaja,Indian National Congress,875458,882486,50.4 %,UP1957PC318
Allahabad,333,GEN,Uttar Pradesh [1947 - 1999],Lal Bahadur,Indian National Congress,415162,213814,51.5 %,UP1957PC333
Almora,298,GEN,Uttar Pradesh [1947 - 1999],Har Govind,Indian National Congress,374895,89971,24.0 %,UP1957PC298
Alwar,284,GEN,Rajasthan,Shobha Ram,Indian National Congress,396427,180679,45.6 %,RJ1957PC284
Ambala,264,GEN,Punjab,Subhdra Joshi,Indian National Congress,788454,920446,58.4 %,PB1957PC264
Ambala,264,GEN,Punjab,Chuni Lal,Indian National Congress,788454,920446,58.4 %,PB1957PC264
Ambalapuzha,152,GEN,Kerala,"Punnoose, P. T.",Communist Party Of India,431468,324471,75.2 %,KL1957PC152
Amravati,136,GEN,Bombay,Deshmukh Panjabrao Shamrao,Indian National Congress,407788,256779,63.0 %,MH1957PC136
Amritsar,273,GEN,Punjab,Gurmukh Singh Musafir,Indian National Congress,414205,259509,62.7 %,PB1957PC273
Amroha,309,GEN,Uttar Pradesh [1947 - 1999],Hifzul Rahman,Indian National Congress,396101,189453,47.8 %,UP1957PC309
Anand,104,GEN,Bombay,Patel Maniben Vallabbhai,Indian National Congress,420787,283003,67.3 %,MH1957PC104
Anantapur,20,GEN,Andhra Pradesh,T. Nagi Reddy,Communist Party Of India,423056,194554,46.0 %,AP1957PC20
Angul,260,GEN,Orissa,Badkumar Pratap Ganga Deb,Ganatantra Parishad,405988,147667,36.4 %,OR1957PC260
Asansol,374,GEN,West Bengal,Mono Mohan Das,Indian National Congress,790322,629589,39.8 %,WB1957PC374
Asansol,374,GEN,West Bengal,Atulya Ghosh,Indian National Congress,790322,629589,39.8 %,WB1957PC374
Aurangabad,78,GEN,Bihar [1947 - 1999],Satyendra Narain Singh,Indian National Congress,355668,141292,39.7 %,BR1957PC78
Aurangabad,148,GEN,Bombay,Tirth Swami Ramanand,Indian National Congress,376048,133713,35.6 %,MH1957PC148
Autonomous Districts,37,ST,Assam,"Hynniewta, Hoover",Independent,393735,117177,29.8 %,AS1957PC37
Azamgarh,343,GEN,Uttar Pradesh [1947 - 1999],Kalika,Indian National Congress,826991,684649,41.4 %,UP1957PC343
Azamgarh,343,GEN,Uttar Pradesh [1947 - 1999],Vishwanath Prasad,Indian National Congress,826991,684649,41.4 %,UP1957PC343
Badagara,162,GEN,Kerala,Menon K. B.,Praja Socialist Party,447129,295682,66.1 %,KL1957PC162
Bagaha,46,GEN,Bihar [1947 - 1999],Bibhuti Mishra,Indian National Congress,300750,101822,33.9 %,BR1957PC46
Bahraich,351,GEN,Uttar Pradesh [1947 - 1999],Jogendra Singh,Indian National Congress,432205,145581,33.7 %,UP1957PC351
Balaghat,181,GEN,Madhya Pradesh [1947 - 1999],Chintaman Dhivruji,Indian National Congress,372502,179281,48.1 %,MP1957PC181
Balasore,256,GEN,Orissa,Kanhu Charan Jena,Indian National Congress,819485,693456,42.3 %,OR1957PC256
Balasore,256,GEN,Orissa,Bhagbat Sahu,Indian National Congress,819485,693456,42.3 %,OR1957PC256
Ballia,341,GEN,Uttar Pradesh [1947 - 1999],Radha Mohan,Indian National Congress,402218,186343,46.3 %,UP1957PC341
Baloda Bazar,185,GEN,Madhya Pradesh [1947 - 1999],Minimata,Indian National Congress,822256,530385,32.3 %,MP1957PC185
Baloda Bazar,185,GEN,Madhya Pradesh [1947 - 1999],Shukla Vidyacharan,Indian National Congress,822256,530385,32.3 %,MP1957PC185
Balrampur,353,GEN,Uttar Pradesh [1947 - 1999],Atal Bihari Vajpayee,All India Bhartiya Jan Sangh,442845,226948,51.3 %,UP1957PC353
Banaskantha,98,GEN,Bombay,Chawda Akbarbhai Dalumiya,Indian National Congress,344894,122033,35.4 %,MH1957PC98
Banda,327,GEN,Uttar Pradesh [1947 - 1999],Raja Dinesh Singh,Indian National Congress,413363,128148,31.0 %,UP1957PC327
