#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Valmiki Nagar,1,GEN,Pashchim Champaran,Dhirendra Pratap Singh Alias Rinku Singh,Independent,293856,184834,62.9 %,33580,18.2%
2,Ramnagar (SC),2,SC,Pashchim Champaran,Bhagirathi Devi,Bharatiya Janta Party,261172,170997,65.5 %,17988,10.5%
3,Narkatiaganj,3,GEN,Pashchim Champaran,Vinay Varma,Indian National Congress,242545,153571,63.3 %,16061,10.5%
4,Bagaha,4,GEN,Pashchim Champaran,Raghaw Sharan Pandey,Bharatiya Janta Party,271212,167561,61.8 %,8183,4.9%
5,Lauriya,5,GEN,Pashchim Champaran,Vinay Bihari,Bharatiya Janta Party,225175,141706,62.9 %,17573,12.4%
6,Nautan,6,GEN,Pashchim Champaran,Narayan Prasad,Bharatiya Janta Party,242764,150379,61.9 %,14335,9.5%
7,Chanpatia,7,GEN,Pashchim Champaran,Prakash Rai,Bharatiya Janta Party,245297,157027,64.0 %,464,0.3%
8,Bettiah,8,GEN,Pashchim Champaran,Madan Mohan Tiwari,Indian National Congress,248311,147563,59.4 %,2320,1.6%
9,Sikta,9,GEN,Pashchim Champaran,Khurshid Urf Firoj Ahmad,Janata Dal (United),243498,160709,66.0 %,2835,1.8%
10,Raxaul,10,GEN,Purba Champaran,Ajay Kumar Singh,Bharatiya Janta Party,257669,162582,63.1 %,3169,1.9%
11,Sugauli,11,GEN,Purba Champaran,Ramchandra Sahni,Bharatiya Janta Party,258543,155495,60.1 %,7756,5.0%
12,Narkatia,12,GEN,Purba Champaran,Shamim Ahmad,Rashtriya Janata Dal,256325,163447,63.8 %,19982,12.2%
13,Harsidhi (SC),13,SC,Purba Champaran,Rajendra Kumar,Rashtriya Janata Dal,234302,150784,64.4 %,10267,6.8%
14,Govindganj,14,GEN,Purba Champaran,Raju Tiwari,Lok Jan Shakti Party,242597,136927,56.4 %,27920,20.4%
15,Kesaria,15,GEN,Purba Champaran,Dr. Rajesh Kumar,Rashtriya Janata Dal,240433,132290,55.0 %,15947,12.1%
16,Kalyanpur,16,GEN,Purba Champaran,Sachindra Prasad Singh,Bharatiya Janta Party,226628,135523,59.8 %,11488,8.5%
17,Pipra,17,GEN,Purba Champaran,Shyambabu Prasad Yadav,Bharatiya Janta Party,298807,172496,57.7 %,3930,2.3%
18,Madhuban,18,GEN,Purba Champaran,Rana Randhir,Bharatiya Janta Party,233670,138934,59.5 %,16222,11.7%
19,Motihari,19,GEN,Purba Champaran,Pramod Kumar,Bharatiya Janta Party,291214,168493,57.9 %,18517,11.0%
20,Chiraia,20,GEN,Purba Champaran,Lal Babu Prasad Gupta,Bharatiya Janta Party,266947,148082,55.5 %,4374,3.0%
21,Dhaka,21,GEN,Purba Champaran,Faisal Rahman,Rashtriya Janata Dal,285026,186214,65.3 %,19197,10.3%
22,Sheohar,22,GEN,Sheohar,Sharfuddin,Janata Dal (United),273466,150049,54.9 %,461,0.3%
23,Riga,23,GEN,Sitamarhi,Amit Kumar,Indian National Congress,282179,161768,57.3 %,22856,14.1%
24,Bathnaha (SC),24,SC,Sitamarhi,Dinkar Ram,Bharatiya Janta Party,276005,152233,55.2 %,20166,13.2%
25,Parihar,25,GEN,Sitamarhi,Gaytri Devi,Bharatiya Janta Party,283694,163042,57.5 %,4017,2.5%
26,Sursand,26,GEN,Sitamarhi,Syed Abu Dojana,Rashtriya Janata Dal,286285,156718,54.7 %,23234,14.8%
27,Bajpatti,27,GEN,Sitamarhi,Dr. Ranju Geeta,Janata Dal (United),283754,155175,54.7 %,16946,10.9%
28,Sitamarhi,28,GEN,Sitamarhi,Sunil Kumar,Rashtriya Janata Dal,258844,164358,63.5 %,14722,9.0%
29,Runnisaidpur,29,GEN,Sitamarhi,Mangita Devi,Rashtriya Janata Dal,256207,137464,53.7 %,14110,10.3%
30,Belsand,30,GEN,Sitamarhi,Sunita Singh Chauhan,Janata Dal (United),235205,122466,52.1 %,5575,4.6%
31,Harlakhi,31,GEN,Madhubani,Basant Kumar,Rashtriya Lok Samta Party,258064,144866,56.1 %,3892,2.7%
32,Benipatti,32,GEN,Madhubani,Bhawana Jha,Indian National Congress,271202,134834,49.7 %,4734,3.5%
33,Khajauli,33,GEN,Madhubani,Sitaram Yadav,Rashtriya Janata Dal,277559,164227,59.2 %,10703,6.5%
34,Babubarhi,34,GEN,Madhubani,Kapil Deo Kamat,Janata Dal (United),281670,163234,58.0 %,20267,12.4%
35,Bisfi,35,GEN,Madhubani,Faiyaz Ahmad,Rashtriya Janata Dal,301836,159971,53.0 %,35325,22.1%
36,Madhubani,36,GEN,Madhubani,Samir Kumar Mahaseth,Rashtriya Janata Dal,319920,169692,53.0 %,7307,4.3%
37,Rajnagar (SC),37,SC,Madhubani,Ram Prit Paswan,Bharatiya Janta Party,295117,154905,52.5 %,6242,4.0%
38,Jhanjharpur,38,GEN,Madhubani,Gulab Yadav,Rashtriya Janata Dal,290386,157914,54.4 %,834,0.5%
39,Phulparas,39,GEN,Madhubani,Guljar Devi,Janata Dal (United),301035,158555,52.7 %,13415,8.5%
40,Laukaha,40,GEN,Madhubani,Lakshmeshwar Roy,Janata Dal (United),306885,183235,59.7 %,23833,13.0%
41,Nirmali,41,GEN,Supaul,Anirudh Prasad Yadav,Janata Dal (United),269400,167436,62.2 %,23951,14.3%
42,Pipra,42,GEN,Supaul,Yadubansh Kumar Yadav,Rashtriya Janata Dal,259806,159132,61.3 %,36369,22.9%
43,Supaul,43,GEN,Supaul,Bijendra Prasad Yadav,Janata Dal (United),262030,150466,57.4 %,37397,24.9%
44,Triveniganj (SC),44,SC,Supaul,Veena Bharti,Janata Dal (United),257034,156215,60.8 %,52400,33.5%
45,Chhatapur,45,GEN,Supaul,Niraj Kumar Singh,Bharatiya Janta Party,263248,173177,65.8 %,9292,5.4%
46,Narpatganj,46,GEN,Araria,Anil Kumar Yadav,Rashtriya Janata Dal,280075,175843,62.8 %,25951,14.8%
47,Raniganj (SC),47,SC,Araria,Achmit Rishidev,Janata Dal (United),283144,161402,57.0 %,14930,9.3%
